,Experiment name:,GSR04_nofilter_OD_1
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,68,0.8379
'0:0:0.1,68,0.8373
'0:0:0.2,68,0.8371
'0:0:0.3,68,0.8364
'0:0:0.4,68,0.8359
'0:0:0.5,68,0.8354
'0:0:0.6,68,0.8348
'0:0:0.7,68,0.8343
'0:0:0.8,68,0.8336
'0:0:0.9,68,0.8332
'0:0:1.0,68,0.8329
'0:0:1.1,68,0.8326
'0:0:1.2,68,0.8319
'0:0:1.3,68,0.8317
'0:0:1.4,68,0.8312
'0:0:1.5,68,0.8306
'0:0:1.6,68,0.8307
'0:0:1.7,68,0.8304
'0:0:1.8,68,0.8293
'0:0:1.9,68,0.8283
'0:0:2.0,68,0.8284
'0:0:2.1,68,0.8289
'0:0:2.2,68,0.8281
'0:0:2.3,68,0.8272
'0:0:2.4,68,0.8269
'0:0:2.5,68,0.8268
'0:0:2.6,68,0.8265
'0:0:2.7,68,0.8261
'0:0:2.8,68,0.8254
'0:0:2.9,68,0.8251
'0:0:3.0,68,0.8246
'0:0:3.1,68,0.8242
'0:0:3.2,68,0.8241
'0:0:3.3,68,0.8229
'0:0:3.4,68,0.8225
'0:0:3.5,68,0.8222
'0:0:3.6,68,0.8219
'0:0:3.7,68,0.8219
'0:0:3.8,68,0.8208
'0:0:3.9,68,0.8203
'0:0:4.0,68,0.8199
'0:0:4.1,68,0.8195
'0:0:4.2,68,0.8189
'0:0:4.3,68,0.8185
'0:0:4.4,68,0.8179
'0:0:4.5,68,0.8176
'0:0:4.6,68,0.8170
'0:0:4.7,68,0.8165
'0:0:4.8,68,0.8161
'0:0:4.9,68,0.8155
'0:0:5.0,68,0.8150
'0:0:5.1,68,0.8147
'0:0:5.2,68,0.8143
'0:0:5.3,68,0.8138
'0:0:5.4,69,0.8136
'0:0:5.5,69,0.8135
'0:0:5.6,69,0.8132
'0:0:5.7,69,0.8129
'0:0:5.8,69,0.8119
'0:0:5.9,69,0.8111
'0:0:6.0,69,0.8111
'0:0:6.1,69,0.8106
'0:0:6.2,69,0.8102
'0:0:6.3,69,0.8099
'0:0:6.4,69,0.8094
'0:0:6.5,69,0.8091
'0:0:6.6,69,0.8086
'0:0:6.7,69,0.8083
'0:0:6.8,69,0.8079
'0:0:6.9,69,0.8074
'0:0:7.0,69,0.8070
'0:0:7.1,69,0.8063
'0:0:7.2,69,0.8058
'0:0:7.3,69,0.8054
'0:0:7.4,69,0.8046
'0:0:7.5,69,0.8041
'0:0:7.6,69,0.8033
'0:0:7.7,69,0.8028
'0:0:7.8,69,0.8024
'0:0:7.9,62,0.8022
'0:0:8.0,62,0.8022
'0:0:8.1,62,0.8017
'0:0:8.2,62,0.8014
'0:0:8.3,62,0.8009
'0:0:8.4,62,0.8007
'0:0:8.5,62,0.8004
'0:0:8.6,62,0.7999
'0:0:8.7,62,0.7993
'0:0:8.8,62,0.7991
'0:0:8.9,62,0.7989
'0:0:9.0,62,0.7984
'0:0:9.1,62,0.7980
'0:0:9.2,62,0.7976
'0:0:9.3,62,0.7973
'0:0:9.4,62,0.7969
'0:0:9.5,62,0.7966
'0:0:9.6,62,0.7965
'0:0:9.7,62,0.7964
'0:0:9.8,62,0.7962
'0:0:9.9,62,0.7961
'0:0:10.0,62,0.7955
'0:0:10.1,62,0.7950
'0:0:10.2,62,0.7946
'0:0:10.3,62,0.7942
'0:0:10.4,62,0.7939
'0:0:10.5,62,0.7937
'0:0:10.6,62,0.7934
'0:0:10.7,62,0.7931
'0:0:10.8,62,0.7927
'0:0:10.9,62,0.7923
'0:0:11.0,62,0.7921
'0:0:11.1,62,0.7921
'0:0:11.2,62,0.7917
'0:0:11.3,62,0.7915
'0:0:11.4,62,0.7913
'0:0:11.5,62,0.7911
'0:0:11.6,62,0.7909
'0:0:11.7,62,0.7907
'0:0:11.8,62,0.7907
'0:0:11.9,62,0.7906
'0:0:12.0,62,0.7904
'0:0:12.1,62,0.7903
'0:0:12.2,62,0.7905
'0:0:12.3,62,0.7904
'0:0:12.4,62,0.7902
'0:0:12.5,62,0.7901
'0:0:12.6,62,0.7898
'0:0:12.7,62,0.7897
'0:0:12.8,62,0.7895
'0:0:12.9,62,0.7893
'0:0:13.0,62,0.7892
'0:0:13.1,62,0.7890
'0:0:13.2,62,0.7888
'0:0:13.3,62,0.7888
'0:0:13.4,62,0.7886
'0:0:13.5,62,0.7882
'0:0:13.6,62,0.7880
'0:0:13.7,62,0.7877
'0:0:13.8,62,0.7874
'0:0:13.9,62,0.7873
'0:0:14.0,62,0.7870
'0:0:14.1,62,0.7867
'0:0:14.2,62,0.7865
'0:0:14.3,62,0.7862
'0:0:14.4,62,0.7861
'0:0:14.5,62,0.7857
'0:0:14.6,62,0.7853
'0:0:14.7,62,0.7848
'0:0:14.8,69,0.7847
'0:0:14.9,69,0.7844
'0:0:15.0,69,0.7841
'0:0:15.1,69,0.7839
'0:0:15.2,69,0.7833
'0:0:15.3,69,0.7832
'0:0:15.4,69,0.7830
'0:0:15.5,69,0.7826
'0:0:15.6,70,0.7823
'0:0:15.7,70,0.7822
'0:0:15.8,70,0.7817
'0:0:15.9,70,0.7816
'0:0:16.0,70,0.7814
'0:0:16.1,70,0.7810
'0:0:16.2,70,0.7808
'0:0:16.3,70,0.7804
'0:0:16.4,70,0.7803
'0:0:16.5,70,0.7799
'0:0:16.6,70,0.7793
'0:0:16.7,70,0.7791
'0:0:16.8,70,0.7788
'0:0:16.9,70,0.7783
'0:0:17.0,70,0.7780
'0:0:17.1,70,0.7778
'0:0:17.2,70,0.7769
'0:0:17.3,70,0.7738
'0:0:17.4,69,0.7712
'0:0:17.5,69,0.7686
'0:0:17.6,69,0.7666
'0:0:17.7,69,0.7652
'0:0:17.8,69,0.7657
'0:0:17.9,69,0.7689
'0:0:18.0,69,0.7699
'0:0:18.1,69,0.7720
'0:0:18.2,69,0.7714
'0:0:18.3,69,0.7708
'0:0:18.4,69,0.7722
'0:0:18.5,69,0.7741
'0:0:18.6,69,0.7732
'0:0:18.7,69,0.7725
'0:0:18.8,69,0.7735
'0:0:18.9,69,0.7736
'0:0:19.0,69,0.7722
'0:0:19.1,69,0.7722
'0:0:19.2,69,0.7722
'0:0:19.3,69,0.7722
'0:0:19.4,69,0.7723
'0:0:19.5,69,0.7726
'0:0:19.6,69,0.7726
'0:0:19.7,69,0.7724
'0:0:19.8,69,0.7723
'0:0:19.9,69,0.7723
'0:0:20.0,69,0.7726
'0:0:20.1,69,0.7725
'0:0:20.2,69,0.7727
'0:0:20.3,69,0.7728
'0:0:20.4,69,0.7726
'0:0:20.5,69,0.7726
'0:0:20.6,69,0.7727
'0:0:20.7,69,0.7733
'0:0:20.8,69,0.7751
'0:0:20.9,69,0.7755
'0:0:21.0,69,0.7749
'0:0:21.1,69,0.7754
'0:0:21.2,69,0.7765
'0:0:21.3,69,0.7769
'0:0:21.4,69,0.7774
'0:0:21.5,69,0.7779
'0:0:21.6,69,0.7784
'0:0:21.7,69,0.7790
'0:0:21.8,69,0.7794
'0:0:21.9,69,0.7797
'0:0:22.0,69,0.7799
'0:0:22.1,69,0.7801
'0:0:22.2,69,0.7802
'0:0:22.3,69,0.7798
'0:0:22.4,69,0.7798
'0:0:22.5,69,0.7796
'0:0:22.6,69,0.7797
'0:0:22.7,69,0.7796
'0:0:22.8,69,0.7793
'0:0:22.9,69,0.7788
'0:0:23.0,69,0.7785
'0:0:23.1,69,0.7784
'0:0:23.2,69,0.7780
'0:0:23.3,69,0.7779
'0:0:23.4,69,0.7781
'0:0:23.5,69,0.7784
'0:0:23.6,69,0.7784
'0:0:23.7,69,0.7787
'0:0:23.8,69,0.7786
'0:0:23.9,69,0.7788
'0:0:24.0,69,0.7788
'0:0:24.1,69,0.7793
'0:0:24.2,69,0.7800
'0:0:24.3,69,0.7812
'0:0:24.4,69,0.7821
'0:0:24.5,69,0.7830
'0:0:24.6,69,0.7837
'0:0:24.7,69,0.7842
'0:0:24.8,69,0.7851
'0:0:24.9,69,0.7858
'0:0:25.0,69,0.7866
'0:0:25.1,69,0.7876
'0:0:25.2,69,0.7887
'0:0:25.3,69,0.7895
'0:0:25.4,69,0.7904
'0:0:25.5,69,0.7912
'0:0:25.6,69,0.7919
'0:0:25.7,69,0.7923
'0:0:25.8,69,0.7927
'0:0:25.9,69,0.7932
'0:0:26.0,69,0.7935
'0:0:26.1,69,0.7934
'0:0:26.2,69,0.7932
'0:0:26.3,69,0.7930
'0:0:26.4,69,0.7927
'0:0:26.5,69,0.7925
'0:0:26.6,69,0.7921
'0:0:26.7,69,0.7915
'0:0:26.8,69,0.7912
'0:0:26.9,69,0.7908
'0:0:27.0,69,0.7907
'0:0:27.1,69,0.7904
'0:0:27.2,69,0.7902
'0:0:27.3,69,0.7897
