,Experiment name:,GSR04_OD_1
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,55,1.0038
'0:0:0.1,55,1.0029
'0:0:0.2,55,1.0022
'0:0:0.3,55,1.0017
'0:0:0.4,59,1.0013
'0:0:0.5,59,1.0006
'0:0:0.6,59,0.9997
'0:0:0.7,59,0.9988
'0:0:0.8,59,0.9978
'0:0:0.9,59,0.9974
'0:0:1.0,59,0.9968
'0:0:1.1,59,0.9962
'0:0:1.2,59,0.9958
'0:0:1.3,59,0.9945
'0:0:1.4,59,0.9936
'0:0:1.5,59,0.9933
'0:0:1.6,59,0.9927
'0:0:1.7,59,0.9921
'0:0:1.8,59,0.9916
'0:0:1.9,59,0.9914
'0:0:2.0,53,0.9919
'0:0:2.1,53,0.9918
'0:0:2.2,53,0.9918
'0:0:2.3,53,0.9922
'0:0:2.4,53,0.9929
'0:0:2.5,53,0.9939
'0:0:2.6,53,0.9949
'0:0:2.7,53,0.9961
'0:0:2.8,53,0.9978
'0:0:2.9,53,0.9996
'0:0:3.0,53,1.0010
'0:0:3.1,53,1.0028
'0:0:3.2,53,1.0049
'0:0:3.3,53,1.0071
'0:0:3.4,53,1.0096
'0:0:3.5,53,1.0118
'0:0:3.6,53,1.0141
'0:0:3.7,53,1.0192
'0:0:3.8,53,1.0215
'0:0:3.9,53,1.0240
'0:0:4.0,53,1.0257
'0:0:4.1,53,1.0267
'0:0:4.2,53,1.0265
'0:0:4.3,53,1.0261
'0:0:4.4,53,1.0255
'0:0:4.5,53,1.0245
'0:0:4.6,53,1.0234
'0:0:4.7,53,1.0218
'0:0:4.8,53,1.0214
'0:0:4.9,53,1.0213
'0:0:5.0,53,1.0216
'0:0:5.1,53,1.0232
'0:0:5.2,53,1.0248
'0:0:5.3,53,1.0263
'0:0:5.4,53,1.0294
'0:0:5.5,53,1.0321
'0:0:5.6,53,1.0341
'0:0:5.7,53,1.0358
'0:0:5.8,53,1.0376
'0:0:5.9,53,1.0388
'0:0:6.0,53,1.0416
'0:0:6.1,53,1.0437
'0:0:6.2,53,1.0458
'0:0:6.3,53,1.0471
'0:0:6.4,53,1.0487
'0:0:6.5,53,1.0505
'0:0:6.6,49,1.0510
'0:0:6.7,49,1.0507
'0:0:6.8,49,1.0502
'0:0:6.9,49,1.0495
'0:0:7.0,49,1.0485
'0:0:7.1,49,1.0480
'0:0:7.2,49,1.0479
'0:0:7.3,49,1.0483
'0:0:7.4,49,1.0491
'0:0:7.5,49,1.0495
'0:0:7.6,49,1.0501
'0:0:7.7,49,1.0516
'0:0:7.8,49,1.0536
'0:0:7.9,49,1.0548
'0:0:8.0,49,1.0559
'0:0:8.1,49,1.0572
'0:0:8.2,49,1.0581
'0:0:8.3,49,1.0581
'0:0:8.4,49,1.0584
'0:0:8.5,49,1.0619
'0:0:8.6,49,1.0625
'0:0:8.7,49,1.0623
'0:0:8.8,49,1.0618
'0:0:8.9,49,1.0615
'0:0:9.0,49,1.0611
'0:0:9.1,49,1.0605
'0:0:9.2,49,1.0605
'0:0:9.3,49,1.0606
'0:0:9.4,49,1.0606
'0:0:9.5,49,1.0604
'0:0:9.6,49,1.0607
'0:0:9.7,49,1.0604
'0:0:9.8,49,1.0595
'0:0:9.9,49,1.0588
'0:0:10.0,49,1.0578
'0:0:10.1,49,1.0566
'0:0:10.2,49,1.0557
'0:0:10.3,55,1.0549
'0:0:10.4,55,1.0543
'0:0:10.5,55,1.0531
'0:0:10.6,55,1.0523
'0:0:10.7,55,1.0512
'0:0:10.8,55,1.0507
'0:0:10.9,55,1.0504
'0:0:11.0,55,1.0503
'0:0:11.1,55,1.0502
'0:0:11.2,55,1.0499
'0:0:11.3,55,1.0495
'0:0:11.4,55,1.0489
'0:0:11.5,55,1.0484
'0:0:11.6,55,1.0479
'0:0:11.7,55,1.0471
'0:0:11.8,57,1.0468
'0:0:11.9,57,1.0462
'0:0:12.0,57,1.0457
'0:0:12.1,57,1.0451
'0:0:12.2,57,1.0446
'0:0:12.3,57,1.0441
'0:0:12.4,57,1.0439
'0:0:12.5,57,1.0441
'0:0:12.6,63,1.0459
'0:0:12.7,63,1.0468
'0:0:12.8,63,1.0465
'0:0:12.9,63,1.0464
'0:0:13.0,63,1.0465
'0:0:13.1,63,1.0471
'0:0:13.2,63,1.0472
'0:0:13.3,63,1.0475
'0:0:13.4,63,1.0476
'0:0:13.5,63,1.0474
'0:0:13.6,63,1.0474
'0:0:13.7,63,1.0469
'0:0:13.8,63,1.0463
'0:0:13.9,63,1.0457
'0:0:14.0,63,1.0453
'0:0:14.1,63,1.0450
'0:0:14.2,63,1.0444
'0:0:14.3,63,1.0446
'0:0:14.4,63,1.0456
'0:0:14.5,63,1.0459
'0:0:14.6,63,1.0466
'0:0:14.7,63,1.0473
'0:0:14.8,63,1.0488
'0:0:14.9,63,1.0513
'0:0:15.0,63,1.0543
'0:0:15.1,63,1.0582
'0:0:15.2,63,1.0622
'0:0:15.3,63,1.0658
'0:0:15.4,63,1.0697
'0:0:15.5,63,1.0739
'0:0:15.6,63,1.0793
'0:0:15.7,78,1.0891
'0:0:15.8,78,1.1051
'0:0:15.9,78,1.1103
'0:0:16.0,78,1.1141
'0:0:16.1,78,1.1168
'0:0:16.2,78,1.1191
'0:0:16.3,78,1.1220
'0:0:16.4,78,1.1267
'0:0:16.5,77,1.1296
'0:0:16.6,77,1.1316
'0:0:16.7,77,1.1340
'0:0:16.8,77,1.1359
'0:0:16.9,77,1.1361
'0:0:17.0,77,1.1364
'0:0:17.1,77,1.1387
'0:0:17.2,77,1.1409
'0:0:17.3,77,1.1413
'0:0:17.4,77,1.1419
'0:0:17.5,77,1.1429
'0:0:17.6,77,1.1435
'0:0:17.7,77,1.1443
'0:0:17.8,77,1.1446
'0:0:17.9,77,1.1436
'0:0:18.0,77,1.1428
'0:0:18.1,76,1.1422
'0:0:18.2,76,1.1414
'0:0:18.3,76,1.1401
'0:0:18.4,76,1.1391
'0:0:18.5,76,1.1384
'0:0:18.6,76,1.1384
'0:0:18.7,76,1.1378
'0:0:18.8,76,1.1384
'0:0:18.9,76,1.1394
'0:0:19.0,76,1.1387
'0:0:19.1,76,1.1378
'0:0:19.2,76,1.1369
'0:0:19.3,76,1.1362
'0:0:19.4,76,1.1362
'0:0:19.5,76,1.1354
'0:0:19.6,76,1.1349
'0:0:19.7,76,1.1346
'0:0:19.8,76,1.1337
'0:0:19.9,76,1.1327
'0:0:20.0,76,1.1313
'0:0:20.1,76,1.1306
'0:0:20.2,76,1.1298
'0:0:20.3,76,1.1299
'0:0:20.4,76,1.1309
'0:0:20.5,76,1.1313
'0:0:20.6,76,1.1311
'0:0:20.7,76,1.1300
'0:0:20.8,76,1.1286
'0:0:20.9,76,1.1273
'0:0:21.0,76,1.1258
'0:0:21.1,76,1.1242
'0:0:21.2,75,1.1233
'0:0:21.3,75,1.1217
'0:0:21.4,75,1.1187
'0:0:21.5,75,1.1154
'0:0:21.6,75,1.1133
'0:0:21.7,75,1.1115
'0:0:21.8,75,1.1084
'0:0:21.9,75,1.1085
'0:0:22.0,76,1.1088
'0:0:22.1,76,1.1079
'0:0:22.2,76,1.1219
'0:0:22.3,76,1.1263
'0:0:22.4,76,1.1279
'0:0:22.5,76,1.1279
'0:0:22.6,76,1.1275
'0:0:22.7,76,1.1267
'0:0:22.8,75,1.1256
'0:0:22.9,75,1.1270
'0:0:23.0,75,1.1274
'0:0:23.1,75,1.1274
'0:0:23.2,75,1.1274
'0:0:23.3,75,1.1248
'0:0:23.4,75,1.1237
'0:0:23.5,75,1.1228
'0:0:23.6,75,1.1229
'0:0:23.7,75,1.1228
'0:0:23.8,75,1.1226
'0:0:23.9,75,1.1230
'0:0:24.0,75,1.1234
'0:0:24.1,75,1.1239
'0:0:24.2,75,1.1249
'0:0:24.3,75,1.1258
'0:0:24.4,67,1.1271
'0:0:24.5,67,1.1282
'0:0:24.6,67,1.1292
'0:0:24.7,67,1.1311
'0:0:24.8,67,1.1333
'0:0:24.9,67,1.1348
'0:0:25.0,67,1.1361
'0:0:25.1,67,1.1388
'0:0:25.2,67,1.1419
'0:0:25.3,67,1.1428
'0:0:25.4,67,1.1430
'0:0:25.5,67,1.1429
'0:0:25.6,67,1.1425
'0:0:25.7,67,1.1419
'0:0:25.8,67,1.1414
'0:0:25.9,67,1.1409
'0:0:26.0,67,1.1405
'0:0:26.1,67,1.1395
'0:0:26.2,67,1.1389
'0:0:26.3,67,1.1381
'0:0:26.4,67,1.1375
'0:0:26.5,67,1.1366
'0:0:26.6,67,1.1359
'0:0:26.7,67,1.1362
'0:0:26.8,67,1.1358
'0:0:26.9,67,1.1356
'0:0:27.0,67,1.1353
'0:0:27.1,67,1.1347
'0:0:27.2,67,1.1338
'0:0:27.3,67,1.1333
