,Experiment name:,GSR04_nofilter_OD_2
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,70,0.8079
'0:0:0.1,70,0.8090
'0:0:0.2,70,0.8081
'0:0:0.3,70,0.8080
'0:0:0.4,70,0.8081
'0:0:0.5,70,0.8079
'0:0:0.6,70,0.8076
'0:0:0.7,70,0.8072
'0:0:0.8,70,0.8070
'0:0:0.9,70,0.8069
'0:0:1.0,70,0.8069
'0:0:1.1,70,0.8067
'0:0:1.2,70,0.8062
'0:0:1.3,70,0.8056
'0:0:1.4,70,0.8054
'0:0:1.5,70,0.8052
'0:0:1.6,70,0.8047
'0:0:1.7,70,0.8041
'0:0:1.8,70,0.8037
'0:0:1.9,70,0.8035
'0:0:2.0,70,0.8041
'0:0:2.1,70,0.8031
'0:0:2.2,70,0.8029
'0:0:2.3,70,0.8025
'0:0:2.4,70,0.8014
'0:0:2.5,70,0.8010
'0:0:2.6,70,0.8011
'0:0:2.7,70,0.8005
'0:0:2.8,70,0.8003
'0:0:2.9,70,0.7995
'0:0:3.0,70,0.7990
'0:0:3.1,70,0.7977
'0:0:3.2,70,0.7973
'0:0:3.3,70,0.7986
'0:0:3.4,70,0.7969
'0:0:3.5,70,0.7957
'0:0:3.6,70,0.7956
'0:0:3.7,70,0.7952
'0:0:3.8,70,0.7947
'0:0:3.9,70,0.7951
'0:0:4.0,70,0.7955
'0:0:4.1,70,0.7949
'0:0:4.2,70,0.7926
'0:0:4.3,70,0.7924
'0:0:4.4,70,0.7909
'0:0:4.5,70,0.7901
'0:0:4.6,70,0.7902
'0:0:4.7,70,0.7907
'0:0:4.8,70,0.7909
'0:0:4.9,70,0.7910
'0:0:5.0,70,0.7910
'0:0:5.1,70,0.7910
'0:0:5.2,70,0.7911
'0:0:5.3,70,0.7909
'0:0:5.4,70,0.7910
'0:0:5.5,70,0.7910
'0:0:5.6,70,0.7908
'0:0:5.7,69,0.7907
'0:0:5.8,69,0.7906
'0:0:5.9,69,0.7906
'0:0:6.0,69,0.7903
'0:0:6.1,69,0.7902
'0:0:6.2,69,0.7902
'0:0:6.3,69,0.7900
'0:0:6.4,69,0.7900
'0:0:6.5,69,0.7895
'0:0:6.6,69,0.7897
'0:0:6.7,69,0.7897
'0:0:6.8,69,0.7897
'0:0:6.9,69,0.7891
'0:0:7.0,69,0.7882
'0:0:7.1,69,0.7885
'0:0:7.2,69,0.7876
'0:0:7.3,69,0.7863
'0:0:7.4,69,0.7856
'0:0:7.5,69,0.7841
'0:0:7.6,69,0.7839
'0:0:7.7,69,0.7832
'0:0:7.8,69,0.7819
'0:0:7.9,69,0.7829
'0:0:8.0,69,0.7829
'0:0:8.1,69,0.7813
'0:0:8.2,69,0.7813
'0:0:8.3,55,0.7807
'0:0:8.4,55,0.7808
'0:0:8.5,55,0.7808
'0:0:8.6,55,0.7806
'0:0:8.7,55,0.7805
'0:0:8.8,55,0.7800
'0:0:8.9,55,0.7797
'0:0:9.0,55,0.7791
'0:0:9.1,55,0.7787
'0:0:9.2,55,0.7781
'0:0:9.3,55,0.7779
'0:0:9.4,55,0.7775
'0:0:9.5,55,0.7770
'0:0:9.6,55,0.7764
'0:0:9.7,55,0.7760
'0:0:9.8,55,0.7755
'0:0:9.9,55,0.7751
'0:0:10.0,55,0.7747
'0:0:10.1,55,0.7745
'0:0:10.2,55,0.7739
'0:0:10.3,55,0.7734
'0:0:10.4,55,0.7730
'0:0:10.5,55,0.7724
'0:0:10.6,55,0.7721
'0:0:10.7,55,0.7717
'0:0:10.8,55,0.7712
'0:0:10.9,55,0.7708
'0:0:11.0,55,0.7703
'0:0:11.1,55,0.7700
'0:0:11.2,55,0.7698
'0:0:11.3,55,0.7695
'0:0:11.4,55,0.7692
'0:0:11.5,55,0.7689
'0:0:11.6,55,0.7686
'0:0:11.7,55,0.7684
'0:0:11.8,54,0.7680
'0:0:11.9,54,0.7676
'0:0:12.0,54,0.7671
'0:0:12.1,54,0.7669
'0:0:12.2,54,0.7666
'0:0:12.3,54,0.7662
'0:0:12.4,54,0.7660
'0:0:12.5,54,0.7656
'0:0:12.6,54,0.7654
'0:0:12.7,54,0.7652
'0:0:12.8,54,0.7647
'0:0:12.9,54,0.7644
'0:0:13.0,54,0.7640
'0:0:13.1,54,0.7638
'0:0:13.2,54,0.7634
'0:0:13.3,54,0.7631
'0:0:13.4,54,0.7627
'0:0:13.5,54,0.7623
'0:0:13.6,54,0.7622
'0:0:13.7,54,0.7620
'0:0:13.8,54,0.7616
'0:0:13.9,54,0.7613
'0:0:14.0,54,0.7610
'0:0:14.1,54,0.7606
'0:0:14.2,54,0.7602
'0:0:14.3,54,0.7598
'0:0:14.4,54,0.7596
'0:0:14.5,54,0.7592
'0:0:14.6,54,0.7589
'0:0:14.7,54,0.7586
'0:0:14.8,54,0.7582
'0:0:14.9,54,0.7577
'0:0:15.0,54,0.7573
'0:0:15.1,54,0.7571
'0:0:15.2,54,0.7566
'0:0:15.3,68,0.7563
'0:0:15.4,68,0.7560
'0:0:15.5,68,0.7555
'0:0:15.6,68,0.7551
'0:0:15.7,68,0.7549
'0:0:15.8,68,0.7546
'0:0:15.9,68,0.7540
'0:0:16.0,68,0.7536
'0:0:16.1,68,0.7531
'0:0:16.2,68,0.7531
'0:0:16.3,68,0.7527
'0:0:16.4,68,0.7524
'0:0:16.5,68,0.7520
'0:0:16.6,68,0.7516
'0:0:16.7,68,0.7512
'0:0:16.8,68,0.7508
'0:0:16.9,68,0.7505
'0:0:17.0,68,0.7501
'0:0:17.1,68,0.7498
'0:0:17.2,68,0.7495
'0:0:17.3,68,0.7491
'0:0:17.4,68,0.7488
'0:0:17.5,68,0.7483
'0:0:17.6,68,0.7480
'0:0:17.7,68,0.7478
'0:0:17.8,68,0.7473
'0:0:17.9,68,0.7470
'0:0:18.0,68,0.7466
'0:0:18.1,68,0.7464
'0:0:18.2,68,0.7463
'0:0:18.3,68,0.7457
'0:0:18.4,68,0.7454
'0:0:18.5,68,0.7452
'0:0:18.6,68,0.7449
'0:0:18.7,68,0.7447
'0:0:18.8,68,0.7445
'0:0:18.9,68,0.7445
'0:0:19.0,68,0.7441
'0:0:19.1,68,0.7437
'0:0:19.2,68,0.7435
'0:0:19.3,68,0.7433
'0:0:19.4,68,0.7432
'0:0:19.5,68,0.7428
'0:0:19.6,68,0.7423
'0:0:19.7,68,0.7421
'0:0:19.8,68,0.7419
'0:0:19.9,68,0.7417
'0:0:20.0,68,0.7414
'0:0:20.1,68,0.7411
'0:0:20.2,68,0.7407
'0:0:20.3,68,0.7406
'0:0:20.4,68,0.7405
'0:0:20.5,69,0.7402
'0:0:20.6,69,0.7399
'0:0:20.7,69,0.7398
'0:0:20.8,69,0.7396
'0:0:20.9,69,0.7393
'0:0:21.0,69,0.7391
'0:0:21.1,69,0.7388
'0:0:21.2,69,0.7386
'0:0:21.3,69,0.7384
'0:0:21.4,69,0.7384
'0:0:21.5,69,0.7382
'0:0:21.6,69,0.7381
'0:0:21.7,69,0.7381
'0:0:21.8,69,0.7381
'0:0:21.9,69,0.7380
'0:0:22.0,69,0.7380
'0:0:22.1,69,0.7381
'0:0:22.2,69,0.7380
'0:0:22.3,69,0.7381
'0:0:22.4,69,0.7381
'0:0:22.5,69,0.7380
'0:0:22.6,69,0.7381
'0:0:22.7,69,0.7381
'0:0:22.8,69,0.7380
'0:0:22.9,69,0.7378
'0:0:23.0,69,0.7377
'0:0:23.1,69,0.7374
'0:0:23.2,69,0.7372
'0:0:23.3,69,0.7370
'0:0:23.4,69,0.7369
'0:0:23.5,69,0.7366
'0:0:23.6,69,0.7365
'0:0:23.7,69,0.7362
'0:0:23.8,69,0.7361
'0:0:23.9,70,0.7358
'0:0:24.0,70,0.7357
'0:0:24.1,70,0.7355
'0:0:24.2,70,0.7352
'0:0:24.3,70,0.7350
'0:0:24.4,70,0.7348
'0:0:24.5,70,0.7344
'0:0:24.6,70,0.7341
'0:0:24.7,70,0.7340
'0:0:24.8,70,0.7337
'0:0:24.9,70,0.7334
'0:0:25.0,70,0.7330
'0:0:25.1,70,0.7327
'0:0:25.2,70,0.7324
'0:0:25.3,70,0.7323
'0:0:25.4,70,0.7320
'0:0:25.5,70,0.7316
'0:0:25.6,70,0.7313
'0:0:25.7,70,0.7311
'0:0:25.8,70,0.7309
'0:0:25.9,70,0.7306
'0:0:26.0,70,0.7303
'0:0:26.1,70,0.7300
'0:0:26.2,70,0.7299
'0:0:26.3,70,0.7295
'0:0:26.4,71,0.7291
'0:0:26.5,71,0.7288
'0:0:26.6,71,0.7285
'0:0:26.7,71,0.7283
'0:0:26.8,71,0.7280
'0:0:26.9,71,0.7279
'0:0:27.0,71,0.7277
'0:0:27.1,71,0.7278
'0:0:27.2,71,0.7276
'0:0:27.3,71,0.7275
