,Experiment name:,GSR15_nofilter_OD
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,69,0.2871
'0:0:0.1,69,0.2870
'0:0:0.2,69,0.2871
'0:0:0.3,69,0.2870
'0:0:0.4,69,0.2870
'0:0:0.5,69,0.2869
'0:0:0.6,69,0.2869
'0:0:0.7,69,0.2869
'0:0:0.8,69,0.2869
'0:0:0.9,69,0.2876
'0:0:1.0,69,0.2876
'0:0:1.1,69,0.2870
'0:0:1.2,69,0.2864
'0:0:1.3,69,0.2866
'0:0:1.4,69,0.2865
'0:0:1.5,69,0.2867
'0:0:1.6,69,0.2868
'0:0:1.7,69,0.2869
'0:0:1.8,69,0.2869
'0:0:1.9,69,0.2868
'0:0:2.0,69,0.2869
'0:0:2.1,69,0.2868
'0:0:2.2,69,0.2866
'0:0:2.3,69,0.2865
'0:0:2.4,69,0.2864
'0:0:2.5,69,0.2864
'0:0:2.6,69,0.2864
'0:0:2.7,69,0.2863
'0:0:2.8,69,0.2862
'0:0:2.9,69,0.2862
'0:0:3.0,69,0.2861
'0:0:3.1,69,0.2862
'0:0:3.2,69,0.2862
'0:0:3.3,69,0.2862
'0:0:3.4,69,0.2862
'0:0:3.5,69,0.2862
'0:0:3.6,69,0.2862
'0:0:3.7,69,0.2862
'0:0:3.8,69,0.2862
'0:0:3.9,69,0.2860
'0:0:4.0,69,0.2859
'0:0:4.1,69,0.2859
'0:0:4.2,69,0.2863
'0:0:4.3,69,0.2875
'0:0:4.4,69,0.2876
'0:0:4.5,69,0.2857
'0:0:4.6,69,0.2860
'0:0:4.7,69,0.2860
'0:0:4.8,69,0.2843
'0:0:4.9,69,0.2855
'0:0:5.0,69,0.2855
'0:0:5.1,69,0.2847
'0:0:5.2,69,0.2843
'0:0:5.3,69,0.2873
'0:0:5.4,69,0.2899
'0:0:5.5,69,0.2888
'0:0:5.6,69,0.2862
'0:0:5.7,69,0.2856
'0:0:5.8,69,0.2859
'0:0:5.9,69,0.2858
'0:0:6.0,69,0.2855
'0:0:6.1,69,0.2852
'0:0:6.2,69,0.2853
'0:0:6.3,69,0.2849
'0:0:6.4,70,0.2859
'0:0:6.5,70,0.2859
'0:0:6.6,70,0.2859
'0:0:6.7,70,0.2857
'0:0:6.8,70,0.2857
'0:0:6.9,70,0.2857
'0:0:7.0,70,0.2857
'0:0:7.1,70,0.2859
'0:0:7.2,70,0.2859
'0:0:7.3,69,0.2859
'0:0:7.4,69,0.2860
'0:0:7.5,69,0.2861
'0:0:7.6,69,0.2860
'0:0:7.7,69,0.2860
'0:0:7.8,69,0.2860
'0:0:7.9,69,0.2859
'0:0:8.0,69,0.2860
'0:0:8.1,69,0.2859
'0:0:8.2,69,0.2859
'0:0:8.3,69,0.2858
'0:0:8.4,69,0.2857
'0:0:8.5,69,0.2857
'0:0:8.6,74,0.2858
'0:0:8.7,74,0.2857
'0:0:8.8,74,0.2857
'0:0:8.9,74,0.2857
'0:0:9.0,74,0.2858
'0:0:9.1,74,0.2857
'0:0:9.2,74,0.2857
'0:0:9.3,74,0.2857
'0:0:9.4,74,0.2857
'0:0:9.5,74,0.2857
'0:0:9.6,74,0.2856
'0:0:9.7,74,0.2856
'0:0:9.8,74,0.2856
'0:0:9.9,74,0.2856
'0:0:10.0,74,0.2855
'0:0:10.1,74,0.2855
'0:0:10.2,74,0.2855
'0:0:10.3,74,0.2855
'0:0:10.4,74,0.2854
'0:0:10.5,74,0.2853
'0:0:10.6,74,0.2855
'0:0:10.7,74,0.2855
'0:0:10.8,74,0.2854
'0:0:10.9,74,0.2855
'0:0:11.0,74,0.2854
'0:0:11.1,74,0.2855
'0:0:11.2,74,0.2855
'0:0:11.3,74,0.2854
'0:0:11.4,74,0.2854
'0:0:11.5,74,0.2854
'0:0:11.6,74,0.2855
'0:0:11.7,74,0.2854
'0:0:11.8,74,0.2855
'0:0:11.9,74,0.2855
'0:0:12.0,74,0.2855
'0:0:12.1,74,0.2855
'0:0:12.2,74,0.2855
'0:0:12.3,74,0.2856
'0:0:12.4,75,0.2856
'0:0:12.5,75,0.2856
'0:0:12.6,75,0.2856
'0:0:12.7,75,0.2856
'0:0:12.8,75,0.2856
'0:0:12.9,75,0.2857
'0:0:13.0,75,0.2857
'0:0:13.1,75,0.2857
'0:0:13.2,75,0.2857
'0:0:13.3,75,0.2857
'0:0:13.4,75,0.2857
'0:0:13.5,75,0.2857
'0:0:13.6,75,0.2858
'0:0:13.7,75,0.2857
'0:0:13.8,75,0.2858
'0:0:13.9,75,0.2858
'0:0:14.0,75,0.2858
'0:0:14.1,75,0.2858
'0:0:14.2,75,0.2858
'0:0:14.3,75,0.2858
'0:0:14.4,75,0.2858
'0:0:14.5,75,0.2858
'0:0:14.6,75,0.2858
'0:0:14.7,75,0.2857
'0:0:14.8,75,0.2858
'0:0:14.9,75,0.2858
'0:0:15.0,75,0.2858
'0:0:15.1,75,0.2858
'0:0:15.2,75,0.2857
'0:0:15.3,75,0.2857
'0:0:15.4,75,0.2856
'0:0:15.5,75,0.2857
'0:0:15.6,75,0.2857
'0:0:15.7,75,0.2857
'0:0:15.8,75,0.2857
'0:0:15.9,74,0.2857
'0:0:16.0,74,0.2857
'0:0:16.1,74,0.2857
'0:0:16.2,74,0.2856
'0:0:16.3,74,0.2856
'0:0:16.4,74,0.2856
'0:0:16.5,74,0.2856
'0:0:16.6,74,0.2855
'0:0:16.7,75,0.2855
'0:0:16.8,75,0.2855
'0:0:16.9,75,0.2856
'0:0:17.0,75,0.2856
'0:0:17.1,75,0.2855
'0:0:17.2,75,0.2855
'0:0:17.3,75,0.2855
'0:0:17.4,75,0.2854
'0:0:17.5,75,0.2855
'0:0:17.6,75,0.2855
'0:0:17.7,75,0.2855
'0:0:17.8,75,0.2855
'0:0:17.9,75,0.2855
'0:0:18.0,75,0.2855
'0:0:18.1,75,0.2854
'0:0:18.2,75,0.2854
'0:0:18.3,75,0.2853
'0:0:18.4,70,0.2853
'0:0:18.5,70,0.2853
'0:0:18.6,70,0.2854
'0:0:18.7,70,0.2853
'0:0:18.8,70,0.2852
'0:0:18.9,70,0.2853
'0:0:19.0,70,0.2853
'0:0:19.1,70,0.2853
'0:0:19.2,70,0.2853
'0:0:19.3,69,0.2853
'0:0:19.4,69,0.2853
'0:0:19.5,69,0.2852
'0:0:19.6,69,0.2853
'0:0:19.7,69,0.2852
'0:0:19.8,69,0.2851
'0:0:19.9,69,0.2851
'0:0:20.0,69,0.2850
'0:0:20.1,69,0.2853
'0:0:20.2,69,0.2851
'0:0:20.3,69,0.2851
'0:0:20.4,69,0.2850
'0:0:20.5,69,0.2851
'0:0:20.6,69,0.2851
'0:0:20.7,69,0.2850
'0:0:20.8,69,0.2850
'0:0:20.9,69,0.2850
'0:0:21.0,69,0.2850
'0:0:21.1,69,0.2850
'0:0:21.2,69,0.2850
'0:0:21.3,69,0.2850
'0:0:21.4,69,0.2850
'0:0:21.5,69,0.2850
'0:0:21.6,69,0.2850
'0:0:21.7,69,0.2849
'0:0:21.8,69,0.2850
'0:0:21.9,69,0.2850
'0:0:22.0,69,0.2850
'0:0:22.1,69,0.2850
'0:0:22.2,69,0.2850
'0:0:22.3,69,0.2850
'0:0:22.4,69,0.2850
'0:0:22.5,69,0.2850
'0:0:22.6,69,0.2849
'0:0:22.7,69,0.2849
'0:0:22.8,69,0.2849
'0:0:22.9,69,0.2850
'0:0:23.0,69,0.2850
'0:0:23.1,69,0.2850
'0:0:23.2,69,0.2849
'0:0:23.3,69,0.2849
'0:0:23.4,69,0.2847
'0:0:23.5,69,0.2849
'0:0:23.6,69,0.2850
'0:0:23.7,69,0.2850
'0:0:23.8,69,0.2849
'0:0:23.9,69,0.2850
'0:0:24.0,69,0.2850
'0:0:24.1,69,0.2849
'0:0:24.2,69,0.2849
'0:0:24.3,69,0.2849
'0:0:24.4,69,0.2850
'0:0:24.5,69,0.2849
'0:0:24.6,69,0.2849
'0:0:24.7,69,0.2849
'0:0:24.8,69,0.2849
'0:0:24.9,69,0.2848
'0:0:25.0,69,0.2849
'0:0:25.1,69,0.2849
'0:0:25.2,69,0.2849
'0:0:25.3,69,0.2850
'0:0:25.4,69,0.2849
'0:0:25.5,69,0.2849
'0:0:25.6,69,0.2849
'0:0:25.7,69,0.2849
'0:0:25.8,69,0.2849
'0:0:25.9,69,0.2847
'0:0:26.0,69,0.2848
'0:0:26.1,69,0.2847
'0:0:26.2,69,0.2848
'0:0:26.3,69,0.2849
'0:0:26.4,69,0.2850
'0:0:26.5,69,0.2849
'0:0:26.6,69,0.2849
'0:0:26.7,69,0.2847
'0:0:26.8,69,0.2847
'0:0:26.9,69,0.2846
'0:0:27.0,69,0.2847
'0:0:27.1,69,0.2847
'0:0:27.2,69,0.2848
'0:0:27.3,69,0.2847
