,Experiment name:,GSR18_VF_OD_2
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,76,1.4806
'0:0:0.1,76,1.4805
'0:0:0.2,76,1.4807
'0:0:0.3,76,1.4810
'0:0:0.4,76,1.4810
'0:0:0.5,76,1.4810
'0:0:0.6,76,1.4809
'0:0:0.7,76,1.4806
'0:0:0.8,76,1.4809
'0:0:0.9,77,1.4814
'0:0:1.0,77,1.4819
'0:0:1.1,77,1.4822
'0:0:1.2,77,1.4825
'0:0:1.3,77,1.4827
'0:0:1.4,77,1.4830
'0:0:1.5,77,1.4831
'0:0:1.6,77,1.4832
'0:0:1.7,77,1.4835
'0:0:1.8,77,1.4837
'0:0:1.9,77,1.4842
'0:0:2.0,77,1.4849
'0:0:2.1,77,1.4849
'0:0:2.2,77,1.4845
'0:0:2.3,77,1.4831
'0:0:2.4,77,1.4829
'0:0:2.5,77,1.4832
'0:0:2.6,77,1.4830
'0:0:2.7,77,1.4829
'0:0:2.8,77,1.4831
'0:0:2.9,77,1.4830
'0:0:3.0,77,1.4826
'0:0:3.1,77,1.4822
'0:0:3.2,77,1.4824
'0:0:3.3,77,1.4824
'0:0:3.4,77,1.4822
'0:0:3.5,77,1.4819
'0:0:3.6,77,1.4816
'0:0:3.7,77,1.4814
'0:0:3.8,77,1.4806
'0:0:3.9,77,1.4809
'0:0:4.0,77,1.4807
'0:0:4.1,77,1.4806
'0:0:4.2,77,1.4805
'0:0:4.3,77,1.4803
'0:0:4.4,77,1.4798
'0:0:4.5,77,1.4795
'0:0:4.6,77,1.4795
'0:0:4.7,77,1.4799
'0:0:4.8,77,1.4798
'0:0:4.9,77,1.4796
'0:0:5.0,77,1.4795
'0:0:5.1,77,1.4794
'0:0:5.2,77,1.4791
'0:0:5.3,77,1.4788
'0:0:5.4,77,1.4788
'0:0:5.5,77,1.4790
'0:0:5.6,77,1.4791
'0:0:5.7,77,1.4790
'0:0:5.8,77,1.4791
'0:0:5.9,77,1.4791
'0:0:6.0,77,1.4791
'0:0:6.1,77,1.4790
'0:0:6.2,77,1.4790
'0:0:6.3,78,1.4791
'0:0:6.4,78,1.4793
'0:0:6.5,78,1.4794
'0:0:6.6,78,1.4796
'0:0:6.7,78,1.4801
'0:0:6.8,78,1.4791
'0:0:6.9,78,1.4793
'0:0:7.0,78,1.4798
'0:0:7.1,78,1.4804
'0:0:7.2,78,1.4815
'0:0:7.3,78,1.4821
'0:0:7.4,78,1.4829
'0:0:7.5,78,1.4836
'0:0:7.6,78,1.4837
'0:0:7.7,78,1.4832
'0:0:7.8,78,1.4822
'0:0:7.9,78,1.4824
'0:0:8.0,78,1.4824
'0:0:8.1,78,1.4820
'0:0:8.2,78,1.4811
'0:0:8.3,78,1.4809
'0:0:8.4,78,1.4804
'0:0:8.5,78,1.4804
'0:0:8.6,78,1.4820
'0:0:8.7,78,1.4827
'0:0:8.8,78,1.4822
'0:0:8.9,78,1.4816
'0:0:9.0,78,1.4819
'0:0:9.1,78,1.4817
'0:0:9.2,78,1.4822
'0:0:9.3,78,1.4829
'0:0:9.4,78,1.4824
'0:0:9.5,78,1.4817
'0:0:9.6,78,1.4817
'0:0:9.7,78,1.4816
'0:0:9.8,78,1.4812
'0:0:9.9,78,1.4811
'0:0:10.0,70,1.4812
'0:0:10.1,70,1.4811
'0:0:10.2,70,1.4814
'0:0:10.3,70,1.4825
'0:0:10.4,70,1.4835
'0:0:10.5,70,1.4800
'0:0:10.6,70,1.4803
'0:0:10.7,70,1.4803
'0:0:10.8,70,1.4800
'0:0:10.9,67,1.4803
'0:0:11.0,67,1.4806
'0:0:11.1,67,1.4806
'0:0:11.2,67,1.4805
'0:0:11.3,67,1.4805
'0:0:11.4,67,1.4807
'0:0:11.5,67,1.4806
'0:0:11.6,67,1.4804
'0:0:11.7,68,1.4811
'0:0:11.8,68,1.4822
'0:0:11.9,68,1.4826
'0:0:12.0,68,1.4829
'0:0:12.1,68,1.4830
'0:0:12.2,68,1.4832
'0:0:12.3,68,1.4832
'0:0:12.4,69,1.4835
'0:0:12.5,69,1.4839
'0:0:12.6,69,1.4841
'0:0:12.7,69,1.4842
'0:0:12.8,69,1.4845
'0:0:12.9,69,1.4845
'0:0:13.0,69,1.4845
'0:0:13.1,69,1.4845
'0:0:13.2,69,1.4847
'0:0:13.3,69,1.4849
'0:0:13.4,69,1.4849
'0:0:13.5,69,1.4849
'0:0:13.6,69,1.4846
'0:0:13.7,69,1.4844
'0:0:13.8,69,1.4844
'0:0:13.9,70,1.4845
'0:0:14.0,70,1.4845
'0:0:14.1,70,1.4842
'0:0:14.2,70,1.4839
'0:0:14.3,70,1.4839
'0:0:14.4,70,1.4836
'0:0:14.5,70,1.4837
'0:0:14.6,70,1.4837
'0:0:14.7,70,1.4834
'0:0:14.8,70,1.4832
'0:0:14.9,70,1.4830
'0:0:15.0,70,1.4831
'0:0:15.1,70,1.4830
'0:0:15.2,70,1.4826
'0:0:15.3,64,1.4826
'0:0:15.4,64,1.4827
'0:0:15.5,64,1.4829
'0:0:15.6,64,1.4826
'0:0:15.7,64,1.4826
'0:0:15.8,64,1.4825
'0:0:15.9,64,1.4824
'0:0:16.0,64,1.4824
'0:0:16.1,64,1.4826
'0:0:16.2,63,1.4829
'0:0:16.3,63,1.4829
'0:0:16.4,63,1.4827
'0:0:16.5,63,1.4825
'0:0:16.6,63,1.4825
'0:0:16.7,63,1.4824
'0:0:16.8,63,1.4821
'0:0:16.9,69,1.4821
'0:0:17.0,69,1.4821
'0:0:17.1,69,1.4821
'0:0:17.2,69,1.4820
'0:0:17.3,69,1.4819
'0:0:17.4,69,1.4815
'0:0:17.5,69,1.4815
'0:0:17.6,69,1.4812
'0:0:17.7,70,1.4812
'0:0:17.8,70,1.4812
'0:0:17.9,70,1.4812
'0:0:18.0,70,1.4811
'0:0:18.1,70,1.4811
'0:0:18.2,70,1.4810
'0:0:18.3,70,1.4809
'0:0:18.4,71,1.4810
'0:0:18.5,71,1.4810
'0:0:18.6,71,1.4809
'0:0:18.7,71,1.4807
'0:0:18.8,71,1.4806
'0:0:18.9,71,1.4805
'0:0:19.0,71,1.4805
'0:0:19.1,71,1.4806
'0:0:19.2,71,1.4805
'0:0:19.3,71,1.4804
'0:0:19.4,71,1.4805
'0:0:19.5,71,1.4804
'0:0:19.6,71,1.4804
'0:0:19.7,71,1.4801
'0:0:19.8,64,1.4803
'0:0:19.9,64,1.4804
'0:0:20.0,64,1.4805
'0:0:20.1,64,1.4805
'0:0:20.2,64,1.4803
'0:0:20.3,64,1.4804
'0:0:20.4,64,1.4804
'0:0:20.5,64,1.4800
'0:0:20.6,64,1.4799
'0:0:20.7,63,1.4800
'0:0:20.8,63,1.4801
'0:0:20.9,63,1.4801
'0:0:21.0,63,1.4799
'0:0:21.1,63,1.4798
'0:0:21.2,63,1.4799
'0:0:21.3,63,1.4798
'0:0:21.4,63,1.4799
'0:0:21.5,63,1.4804
'0:0:21.6,63,1.4807
'0:0:21.7,63,1.4810
'0:0:21.8,63,1.4811
'0:0:21.9,63,1.4814
'0:0:22.0,63,1.4817
'0:0:22.1,63,1.4817
'0:0:22.2,63,1.4819
'0:0:22.3,69,1.4821
'0:0:22.4,69,1.4825
'0:0:22.5,69,1.4826
'0:0:22.6,69,1.4826
'0:0:22.7,69,1.4825
'0:0:22.8,69,1.4825
'0:0:22.9,69,1.4825
'0:0:23.0,70,1.4825
'0:0:23.1,70,1.4827
'0:0:23.2,70,1.4827
'0:0:23.3,70,1.4830
'0:0:23.4,70,1.4831
'0:0:23.5,70,1.4832
'0:0:23.6,70,1.4835
'0:0:23.7,70,1.4840
'0:0:23.8,70,1.4844
'0:0:23.9,70,1.4849
'0:0:24.0,70,1.4851
'0:0:24.1,70,1.4847
'0:0:24.2,70,1.4855
'0:0:24.3,72,1.4852
'0:0:24.4,72,1.4862
'0:0:24.5,72,1.4861
'0:0:24.6,72,1.4854
'0:0:24.7,72,1.4854
'0:0:24.8,72,1.4855
'0:0:24.9,72,1.4859
'0:0:25.0,72,1.4856
'0:0:25.1,71,1.4855
'0:0:25.2,71,1.4850
'0:0:25.3,71,1.4852
'0:0:25.4,71,1.4852
'0:0:25.5,71,1.4854
'0:0:25.6,71,1.4857
'0:0:25.7,71,1.4841
'0:0:25.8,71,1.4840
'0:0:25.9,71,1.4841
'0:0:26.0,78,1.4844
'0:0:26.1,78,1.4850
'0:0:26.2,78,1.4837
'0:0:26.3,78,1.4837
'0:0:26.4,78,1.4837
'0:0:26.5,78,1.4836
'0:0:26.6,78,1.4834
'0:0:26.7,79,1.4832
'0:0:26.8,79,1.4831
'0:0:26.9,79,1.4830
'0:0:27.0,79,1.4830
'0:0:27.1,79,1.4827
'0:0:27.2,79,1.4824
'0:0:27.3,79,1.4820
