,Experiment name:,GSR18_nofilter_OD_1
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,69,1.8524
'0:0:0.1,69,1.8518
'0:0:0.2,68,1.8518
'0:0:0.3,68,1.8520
'0:0:0.4,68,1.8517
'0:0:0.5,68,1.8514
'0:0:0.6,68,1.8509
'0:0:0.7,68,1.8506
'0:0:0.8,68,1.8502
'0:0:0.9,68,1.8499
'0:0:1.0,68,1.8499
'0:0:1.1,68,1.8496
'0:0:1.2,68,1.8496
'0:0:1.3,68,1.8493
'0:0:1.4,68,1.8490
'0:0:1.5,68,1.8491
'0:0:1.6,68,1.8488
'0:0:1.7,68,1.8488
'0:0:1.8,68,1.8488
'0:0:1.9,68,1.8487
'0:0:2.0,68,1.8485
'0:0:2.1,68,1.8473
'0:0:2.2,63,1.8469
'0:0:2.3,63,1.8470
'0:0:2.4,63,1.8469
'0:0:2.5,63,1.8466
'0:0:2.6,63,1.8460
'0:0:2.7,63,1.8458
'0:0:2.8,63,1.8457
'0:0:2.9,63,1.8452
'0:0:3.0,62,1.8448
'0:0:3.1,62,1.8449
'0:0:3.2,62,1.8448
'0:0:3.3,62,1.8449
'0:0:3.4,62,1.8443
'0:0:3.5,62,1.8442
'0:0:3.6,62,1.8440
'0:0:3.7,68,1.8440
'0:0:3.8,68,1.8440
'0:0:3.9,68,1.8446
'0:0:4.0,68,1.8454
'0:0:4.1,68,1.8440
'0:0:4.2,68,1.8425
'0:0:4.3,68,1.8424
'0:0:4.4,68,1.8445
'0:0:4.5,68,1.8475
'0:0:4.6,68,1.8466
'0:0:4.7,68,1.8436
'0:0:4.8,68,1.8428
'0:0:4.9,68,1.8424
'0:0:5.0,68,1.8423
'0:0:5.1,68,1.8417
'0:0:5.2,68,1.8420
'0:0:5.3,68,1.8418
'0:0:5.4,68,1.8411
'0:0:5.5,68,1.8411
'0:0:5.6,68,1.8376
'0:0:5.7,68,1.8338
'0:0:5.8,62,1.8406
'0:0:5.9,62,1.8409
'0:0:6.0,62,1.8408
'0:0:6.1,62,1.8406
'0:0:6.2,62,1.8406
'0:0:6.3,62,1.8409
'0:0:6.4,62,1.8409
'0:0:6.5,62,1.8412
'0:0:6.6,67,1.8417
'0:0:6.7,67,1.8418
'0:0:6.8,67,1.8420
'0:0:6.9,67,1.8420
'0:0:7.0,67,1.8420
'0:0:7.1,67,1.8420
'0:0:7.2,67,1.8421
'0:0:7.3,67,1.8420
'0:0:7.4,67,1.8424
'0:0:7.5,67,1.8423
'0:0:7.6,67,1.8423
'0:0:7.7,67,1.8421
'0:0:7.8,67,1.8421
'0:0:7.9,67,1.8420
'0:0:8.0,67,1.8421
'0:0:8.1,67,1.8423
'0:0:8.2,67,1.8423
'0:0:8.3,67,1.8420
'0:0:8.4,67,1.8420
'0:0:8.5,67,1.8420
'0:0:8.6,75,1.8418
'0:0:8.7,75,1.8417
'0:0:8.8,75,1.8415
'0:0:8.9,75,1.8418
'0:0:9.0,75,1.8415
'0:0:9.1,75,1.8409
'0:0:9.2,75,1.8406
'0:0:9.3,75,1.8403
'0:0:9.4,75,1.8402
'0:0:9.5,74,1.8400
'0:0:9.6,74,1.8400
'0:0:9.7,74,1.8397
'0:0:9.8,74,1.8396
'0:0:9.9,74,1.8391
'0:0:10.0,74,1.8390
'0:0:10.1,74,1.8387
'0:0:10.2,74,1.8384
'0:0:10.3,72,1.8384
'0:0:10.4,72,1.8381
'0:0:10.5,72,1.8378
'0:0:10.6,72,1.8375
'0:0:10.7,72,1.8373
'0:0:10.8,72,1.8373
'0:0:10.9,72,1.8367
'0:0:11.0,72,1.8367
'0:0:11.1,71,1.8369
'0:0:11.2,71,1.8367
'0:0:11.3,71,1.8367
'0:0:11.4,71,1.8366
'0:0:11.5,71,1.8369
'0:0:11.6,71,1.8369
'0:0:11.7,71,1.8366
'0:0:11.8,80,1.8370
'0:0:11.9,80,1.8370
'0:0:12.0,80,1.8373
'0:0:12.1,80,1.8372
'0:0:12.2,80,1.8373
'0:0:12.3,80,1.8375
'0:0:12.4,80,1.8379
'0:0:12.5,81,1.8381
'0:0:12.6,81,1.8382
'0:0:12.7,81,1.8387
'0:0:12.8,81,1.8391
'0:0:12.9,81,1.8393
'0:0:13.0,81,1.8397
'0:0:13.1,81,1.8403
'0:0:13.2,81,1.8406
'0:0:13.3,81,1.8409
'0:0:13.4,81,1.8411
'0:0:13.5,81,1.8412
'0:0:13.6,81,1.8412
'0:0:13.7,81,1.8414
'0:0:13.8,81,1.8412
'0:0:13.9,73,1.8412
'0:0:14.0,73,1.8414
'0:0:14.1,73,1.8412
'0:0:14.2,73,1.8411
'0:0:14.3,73,1.8409
'0:0:14.4,73,1.8406
'0:0:14.5,73,1.8405
'0:0:14.6,73,1.8405
'0:0:14.7,72,1.8403
'0:0:14.8,72,1.8402
'0:0:14.9,72,1.8400
'0:0:15.0,72,1.8397
'0:0:15.1,72,1.8393
'0:0:15.2,72,1.8391
'0:0:15.3,72,1.8388
'0:0:15.4,72,1.8385
'0:0:15.5,70,1.8385
'0:0:15.6,70,1.8384
'0:0:15.7,70,1.8382
'0:0:15.8,70,1.8379
'0:0:15.9,70,1.8378
'0:0:16.0,70,1.8375
'0:0:16.1,70,1.8373
'0:0:16.2,71,1.8375
'0:0:16.3,71,1.8373
'0:0:16.4,71,1.8372
'0:0:16.5,71,1.8369
'0:0:16.6,71,1.8367
'0:0:16.7,71,1.8366
'0:0:16.8,71,1.8366
'0:0:16.9,72,1.8366
'0:0:17.0,72,1.8367
'0:0:17.1,72,1.8364
'0:0:17.2,72,1.8363
'0:0:17.3,72,1.8363
'0:0:17.4,72,1.8364
'0:0:17.5,72,1.8364
'0:0:17.6,72,1.8366
'0:0:17.7,72,1.8367
'0:0:17.8,72,1.8367
'0:0:17.9,72,1.8369
'0:0:18.0,72,1.8367
'0:0:18.1,72,1.8367
'0:0:18.2,72,1.8369
'0:0:18.3,66,1.8372
'0:0:18.4,66,1.8372
'0:0:18.5,66,1.8370
'0:0:18.6,66,1.8369
'0:0:18.7,66,1.8367
'0:0:18.8,66,1.8364
'0:0:18.9,66,1.8363
'0:0:19.0,66,1.8360
'0:0:19.1,66,1.8361
'0:0:19.2,66,1.8361
'0:0:19.3,66,1.8357
'0:0:19.4,66,1.8355
'0:0:19.5,66,1.8354
'0:0:19.6,66,1.8351
'0:0:19.7,66,1.8349
'0:0:19.8,65,1.8347
'0:0:19.9,65,1.8348
'0:0:20.0,65,1.8347
'0:0:20.1,65,1.8342
'0:0:20.2,65,1.8341
'0:0:20.3,65,1.8338
'0:0:20.4,65,1.8336
'0:0:20.5,72,1.8333
'0:0:20.6,72,1.8333
'0:0:20.7,72,1.8333
'0:0:20.8,72,1.8332
'0:0:20.9,72,1.8330
'0:0:21.0,72,1.8329
'0:0:21.1,72,1.8327
'0:0:21.2,74,1.8327
'0:0:21.3,74,1.8326
'0:0:21.4,74,1.8324
'0:0:21.5,74,1.8323
'0:0:21.6,74,1.8321
'0:0:21.7,74,1.8320
'0:0:21.8,74,1.8318
'0:0:21.9,74,1.8320
'0:0:22.0,73,1.8321
'0:0:22.1,73,1.8326
'0:0:22.2,73,1.8327
'0:0:22.3,73,1.8329
'0:0:22.4,73,1.8329
'0:0:22.5,73,1.8329
'0:0:22.6,73,1.8336
'0:0:22.7,73,1.8360
'0:0:22.8,72,1.8351
'0:0:22.9,72,1.8335
'0:0:23.0,72,1.8333
'0:0:23.1,72,1.8341
'0:0:23.2,72,1.8344
'0:0:23.3,72,1.8348
'0:0:23.4,72,1.8351
'0:0:23.5,72,1.8357
'0:0:23.6,71,1.8370
'0:0:23.7,71,1.8378
'0:0:23.8,71,1.8375
'0:0:23.9,71,1.8390
'0:0:24.0,71,1.8403
'0:0:24.1,71,1.8417
'0:0:24.2,71,1.8406
'0:0:24.3,71,1.8387
'0:0:24.4,78,1.8363
'0:0:24.5,78,1.8355
'0:0:24.6,78,1.8394
'0:0:24.7,78,1.8388
'0:0:24.8,78,1.8400
'0:0:24.9,78,1.8400
'0:0:25.0,80,1.8417
'0:0:25.1,80,1.8431
'0:0:25.2,80,1.8434
'0:0:25.3,80,1.8430
'0:0:25.4,80,1.8425
'0:0:25.5,80,1.8439
'0:0:25.6,80,1.8454
'0:0:25.7,81,1.8420
'0:0:25.8,81,1.8405
'0:0:25.9,81,1.8415
'0:0:26.0,81,1.8446
'0:0:26.1,81,1.8472
'0:0:26.2,81,1.8463
'0:0:26.3,83,1.8601
'0:0:26.4,83,1.8694
'0:0:26.5,83,1.8589
'0:0:26.6,83,1.8764
'0:0:26.7,83,1.8907
'0:0:26.8,83,1.9016
'0:0:26.9,83,1.8952
'0:0:27.0,83,1.8948
'0:0:27.1,80,1.8900
'0:0:27.2,80,1.8883
'0:0:27.3,80,1.8982
