,Experiment name:,GSR18_VF_OS_2
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,64,1.4323
'0:0:0.1,64,1.4320
'0:0:0.2,64,1.4322
'0:0:0.3,64,1.4327
'0:0:0.4,64,1.4331
'0:0:0.5,64,1.4334
'0:0:0.6,64,1.4341
'0:0:0.7,70,1.4343
'0:0:0.8,70,1.4345
'0:0:0.9,70,1.4345
'0:0:1.0,70,1.4344
'0:0:1.1,70,1.4344
'0:0:1.2,70,1.4340
'0:0:1.3,70,1.4344
'0:0:1.4,71,1.4351
'0:0:1.5,71,1.4363
'0:0:1.6,71,1.4369
'0:0:1.7,71,1.4346
'0:0:1.8,71,1.4335
'0:0:1.9,71,1.4339
'0:0:2.0,71,1.4327
'0:0:2.1,71,1.4318
'0:0:2.2,71,1.4337
'0:0:2.3,71,1.4335
'0:0:2.4,71,1.4314
'0:0:2.5,71,1.4289
'0:0:2.6,71,1.4289
'0:0:2.7,71,1.4297
'0:0:2.8,72,1.4301
'0:0:2.9,72,1.4299
'0:0:3.0,72,1.4295
'0:0:3.1,72,1.4343
'0:0:3.2,72,1.4312
'0:0:3.3,72,1.4271
'0:0:3.4,72,1.4238
'0:0:3.5,72,1.4265
'0:0:3.6,72,1.4275
'0:0:3.7,72,1.4281
'0:0:3.8,72,1.4280
'0:0:3.9,72,1.4278
'0:0:4.0,72,1.4281
'0:0:4.1,72,1.4283
'0:0:4.2,66,1.4289
'0:0:4.3,66,1.4306
'0:0:4.4,66,1.4314
'0:0:4.5,66,1.4310
'0:0:4.6,66,1.4289
'0:0:4.7,66,1.4281
'0:0:4.8,66,1.4305
'0:0:4.9,66,1.4309
'0:0:5.0,65,1.4307
'0:0:5.1,65,1.4293
'0:0:5.2,65,1.4314
'0:0:5.3,65,1.4320
'0:0:5.4,65,1.4331
'0:0:5.5,65,1.4335
'0:0:5.6,65,1.4320
'0:0:5.7,65,1.4299
'0:0:5.8,65,1.4310
'0:0:5.9,65,1.4320
'0:0:6.0,65,1.4318
'0:0:6.1,65,1.4320
'0:0:6.2,65,1.4320
'0:0:6.3,65,1.4324
'0:0:6.4,73,1.4318
'0:0:6.5,73,1.4323
'0:0:6.6,73,1.4321
'0:0:6.7,73,1.4305
'0:0:6.8,73,1.4304
'0:0:6.9,73,1.4299
'0:0:7.0,73,1.4299
'0:0:7.1,74,1.4297
'0:0:7.2,74,1.4299
'0:0:7.3,74,1.4297
'0:0:7.4,74,1.4294
'0:0:7.5,74,1.4292
'0:0:7.6,74,1.4294
'0:0:7.7,76,1.4295
'0:0:7.8,76,1.4297
'0:0:7.9,76,1.4299
'0:0:8.0,76,1.4297
'0:0:8.1,76,1.4295
'0:0:8.2,76,1.4294
'0:0:8.3,76,1.4295
'0:0:8.4,76,1.4299
'0:0:8.5,75,1.4303
'0:0:8.6,75,1.4307
'0:0:8.7,75,1.4305
'0:0:8.8,75,1.4303
'0:0:8.9,75,1.4303
'0:0:9.0,75,1.4300
'0:0:9.1,75,1.4298
'0:0:9.2,75,1.4297
'0:0:9.3,75,1.4297
'0:0:9.4,73,1.4300
'0:0:9.5,73,1.4293
'0:0:9.6,73,1.4292
'0:0:9.7,73,1.4294
'0:0:9.8,73,1.4293
'0:0:9.9,73,1.4294
'0:0:10.0,73,1.4299
'0:0:10.1,81,1.4295
'0:0:10.2,81,1.4292
'0:0:10.3,81,1.4312
'0:0:10.4,81,1.4324
'0:0:10.5,81,1.4334
'0:0:10.6,81,1.4339
'0:0:10.7,81,1.4328
'0:0:10.8,82,1.4327
'0:0:10.9,82,1.4329
'0:0:11.0,82,1.4328
'0:0:11.1,82,1.4340
'0:0:11.2,82,1.4327
'0:0:11.3,82,1.4323
'0:0:11.4,82,1.4333
'0:0:11.5,82,1.4333
'0:0:11.6,82,1.4337
'0:0:11.7,82,1.4339
'0:0:11.8,82,1.4344
'0:0:11.9,82,1.4355
'0:0:12.0,82,1.4334
'0:0:12.1,82,1.4318
'0:0:12.2,82,1.4329
'0:0:12.3,82,1.4318
'0:0:12.4,82,1.4326
'0:0:12.5,82,1.4326
'0:0:12.6,82,1.4326
'0:0:12.7,82,1.4320
'0:0:12.8,82,1.4314
'0:0:12.9,82,1.4315
'0:0:13.0,73,1.4321
'0:0:13.1,73,1.4323
'0:0:13.2,73,1.4321
'0:0:13.3,73,1.4317
'0:0:13.4,73,1.4318
'0:0:13.5,73,1.4321
'0:0:13.6,73,1.4324
'0:0:13.7,73,1.4316
'0:0:13.8,71,1.4315
'0:0:13.9,71,1.4316
'0:0:14.0,71,1.4318
'0:0:14.1,71,1.4317
'0:0:14.2,71,1.4320
'0:0:14.3,71,1.4316
'0:0:14.4,71,1.4312
'0:0:14.5,71,1.4311
'0:0:14.6,69,1.4312
'0:0:14.7,69,1.4315
'0:0:14.8,69,1.4314
'0:0:14.9,69,1.4315
'0:0:15.0,69,1.4318
'0:0:15.1,69,1.4322
'0:0:15.2,69,1.4327
'0:0:15.3,70,1.4333
'0:0:15.4,70,1.4339
'0:0:15.5,70,1.4344
'0:0:15.6,70,1.4343
'0:0:15.7,70,1.4343
'0:0:15.8,70,1.4345
'0:0:15.9,70,1.4339
'0:0:16.0,71,1.4343
'0:0:16.1,71,1.4344
'0:0:16.2,71,1.4345
'0:0:16.3,71,1.4343
'0:0:16.4,71,1.4340
'0:0:16.5,71,1.4341
'0:0:16.6,71,1.4337
'0:0:16.7,71,1.4333
'0:0:16.8,72,1.4334
'0:0:16.9,72,1.4333
'0:0:17.0,72,1.4331
'0:0:17.1,72,1.4335
'0:0:17.2,72,1.4337
'0:0:17.3,72,1.4323
'0:0:17.4,72,1.4323
'0:0:17.5,72,1.4320
'0:0:17.6,72,1.4316
'0:0:17.7,72,1.4315
'0:0:17.8,72,1.4315
'0:0:17.9,72,1.4321
'0:0:18.0,72,1.4310
'0:0:18.1,72,1.4306
'0:0:18.2,65,1.4306
'0:0:18.3,65,1.4310
'0:0:18.4,65,1.4309
'0:0:18.5,65,1.4304
'0:0:18.6,65,1.4304
'0:0:18.7,65,1.4300
'0:0:18.8,65,1.4295
'0:0:18.9,65,1.4293
'0:0:19.0,65,1.4289
'0:0:19.1,63,1.4288
'0:0:19.2,63,1.4291
'0:0:19.3,63,1.4289
'0:0:19.4,63,1.4286
'0:0:19.5,63,1.4281
'0:0:19.6,63,1.4277
'0:0:19.7,63,1.4275
'0:0:19.8,63,1.4274
'0:0:19.9,69,1.4277
'0:0:20.0,69,1.4280
'0:0:20.1,69,1.4277
'0:0:20.2,69,1.4275
'0:0:20.3,69,1.4274
'0:0:20.4,69,1.4270
'0:0:20.5,69,1.4268
'0:0:20.6,69,1.4266
'0:0:20.7,69,1.4270
'0:0:20.8,69,1.4272
'0:0:20.9,69,1.4269
'0:0:21.0,69,1.4265
'0:0:21.1,69,1.4264
'0:0:21.2,69,1.4263
'0:0:21.3,69,1.4260
'0:0:21.4,69,1.4258
'0:0:21.5,69,1.4263
'0:0:21.6,69,1.4264
'0:0:21.7,69,1.4260
'0:0:21.8,69,1.4258
'0:0:21.9,69,1.4255
'0:0:22.0,69,1.4269
'0:0:22.1,69,1.4272
'0:0:22.2,69,1.4268
'0:0:22.3,68,1.4270
'0:0:22.4,68,1.4274
'0:0:22.5,68,1.4272
'0:0:22.6,68,1.4268
'0:0:22.7,68,1.4265
'0:0:22.8,68,1.4261
'0:0:22.9,68,1.4258
'0:0:23.0,68,1.4259
'0:0:23.1,68,1.4261
'0:0:23.2,68,1.4258
'0:0:23.3,68,1.4255
'0:0:23.4,68,1.4257
'0:0:23.5,68,1.4255
'0:0:23.6,68,1.4254
'0:0:23.7,68,1.4253
'0:0:23.8,68,1.4258
'0:0:23.9,68,1.4259
'0:0:24.0,68,1.4257
'0:0:24.1,68,1.4255
'0:0:24.2,68,1.4253
'0:0:24.3,68,1.4253
'0:0:24.4,77,1.4254
'0:0:24.5,77,1.4254
'0:0:24.6,77,1.4251
'0:0:24.7,77,1.4249
'0:0:24.8,77,1.4247
'0:0:24.9,77,1.4245
'0:0:25.0,77,1.4243
'0:0:25.1,77,1.4242
'0:0:25.2,77,1.4242
'0:0:25.3,77,1.4247
'0:0:25.4,77,1.4249
'0:0:25.5,77,1.4246
'0:0:25.6,77,1.4245
'0:0:25.7,77,1.4241
'0:0:25.8,77,1.4238
'0:0:25.9,77,1.4241
'0:0:26.0,77,1.4238
'0:0:26.1,77,1.4241
'0:0:26.2,77,1.4245
'0:0:26.3,77,1.4243
'0:0:26.4,77,1.4240
'0:0:26.5,77,1.4238
'0:0:26.6,77,1.4237
'0:0:26.7,77,1.4235
'0:0:26.8,77,1.4234
'0:0:26.9,77,1.4237
'0:0:27.0,77,1.4241
'0:0:27.1,77,1.4241
'0:0:27.2,77,1.4241
'0:0:27.3,77,1.4236
