,Experiment name:,GSR18_nofilter_OS_1
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,74,1.6583
'0:0:0.1,74,1.6578
'0:0:0.2,74,1.6578
'0:0:0.3,74,1.6574
'0:0:0.4,75,1.6574
'0:0:0.5,75,1.6583
'0:0:0.6,75,1.6577
'0:0:0.7,75,1.6570
'0:0:0.8,75,1.6568
'0:0:0.9,75,1.6567
'0:0:1.0,75,1.6578
'0:0:1.1,75,1.6577
'0:0:1.2,75,1.6570
'0:0:1.3,75,1.6564
'0:0:1.4,75,1.6562
'0:0:1.5,75,1.6559
'0:0:1.6,75,1.6558
'0:0:1.7,75,1.6558
'0:0:1.8,67,1.6558
'0:0:1.9,67,1.6571
'0:0:2.0,67,1.6568
'0:0:2.1,67,1.6567
'0:0:2.2,67,1.6563
'0:0:2.3,67,1.6562
'0:0:2.4,67,1.6567
'0:0:2.5,67,1.6568
'0:0:2.6,66,1.6567
'0:0:2.7,66,1.6571
'0:0:2.8,66,1.6571
'0:0:2.9,66,1.6568
'0:0:3.0,66,1.6566
'0:0:3.1,66,1.6563
'0:0:3.2,66,1.6564
'0:0:3.3,66,1.6560
'0:0:3.4,66,1.6567
'0:0:3.5,66,1.6586
'0:0:3.6,66,1.6607
'0:0:3.7,66,1.6574
'0:0:3.8,66,1.6558
'0:0:3.9,66,1.6556
'0:0:4.0,66,1.6532
'0:0:4.1,72,1.6567
'0:0:4.2,72,1.6579
'0:0:4.3,72,1.6634
'0:0:4.4,72,1.6626
'0:0:4.5,72,1.6696
'0:0:4.6,72,1.6694
'0:0:4.7,72,1.6581
'0:0:4.8,73,1.6541
'0:0:4.9,73,1.6574
'0:0:5.0,73,1.6611
'0:0:5.1,73,1.6533
'0:0:5.2,73,1.6311
'0:0:5.3,73,1.6521
'0:0:5.4,73,1.6539
'0:0:5.5,73,1.6536
'0:0:5.6,73,1.6548
'0:0:5.7,73,1.6558
'0:0:5.8,73,1.6570
'0:0:5.9,73,1.6588
'0:0:6.0,73,1.6603
'0:0:6.1,73,1.6646
'0:0:6.2,66,1.6733
'0:0:6.3,66,1.6700
'0:0:6.4,66,1.6659
'0:0:6.5,66,1.6575
'0:0:6.6,66,1.6412
'0:0:6.7,66,1.6613
'0:0:6.8,66,1.6722
'0:0:6.9,66,1.6737
'0:0:7.0,65,1.6731
'0:0:7.1,65,1.6759
'0:0:7.2,65,1.6689
'0:0:7.3,65,1.6422
'0:0:7.4,65,1.6491
'0:0:7.5,65,1.6578
'0:0:7.6,65,1.6456
'0:0:7.7,65,1.6577
'0:0:7.8,65,1.6581
'0:0:7.9,65,1.6596
'0:0:8.0,65,1.6594
'0:0:8.1,65,1.6590
'0:0:8.2,65,1.6582
'0:0:8.3,65,1.6581
'0:0:8.4,65,1.6592
'0:0:8.5,72,1.6597
'0:0:8.6,72,1.6601
'0:0:8.7,72,1.6575
'0:0:8.8,72,1.6575
'0:0:8.9,72,1.6568
'0:0:9.0,72,1.6575
'0:0:9.1,72,1.6581
'0:0:9.2,73,1.6575
'0:0:9.3,73,1.6574
'0:0:9.4,73,1.6567
'0:0:9.5,73,1.6566
'0:0:9.6,73,1.6566
'0:0:9.7,73,1.6564
'0:0:9.8,73,1.6566
'0:0:9.9,73,1.6562
'0:0:10.0,73,1.6559
'0:0:10.1,73,1.6558
'0:0:10.2,73,1.6558
'0:0:10.3,73,1.6555
'0:0:10.4,73,1.6553
'0:0:10.5,67,1.6549
'0:0:10.6,67,1.6555
'0:0:10.7,67,1.6553
'0:0:10.8,67,1.6549
'0:0:10.9,67,1.6547
'0:0:11.0,67,1.6545
'0:0:11.1,67,1.6544
'0:0:11.2,67,1.6543
'0:0:11.3,66,1.6543
'0:0:11.4,66,1.6545
'0:0:11.5,66,1.6543
'0:0:11.6,66,1.6541
'0:0:11.7,66,1.6541
'0:0:11.8,66,1.6540
'0:0:11.9,66,1.6529
'0:0:12.0,66,1.6539
'0:0:12.1,66,1.6553
'0:0:12.2,66,1.6534
'0:0:12.3,66,1.6537
'0:0:12.4,66,1.6536
'0:0:12.5,66,1.6540
'0:0:12.6,66,1.6544
'0:0:12.7,73,1.6573
'0:0:12.8,73,1.6567
'0:0:12.9,73,1.6533
'0:0:13.0,73,1.6558
'0:0:13.1,73,1.6567
'0:0:13.2,73,1.6549
'0:0:13.3,76,1.6562
'0:0:13.4,76,1.6563
'0:0:13.5,76,1.6547
'0:0:13.6,76,1.6537
'0:0:13.7,76,1.6552
'0:0:13.8,76,1.6713
'0:0:13.9,76,1.6631
'0:0:14.0,76,1.6529
'0:0:14.1,76,1.6503
'0:0:14.2,74,1.6487
'0:0:14.3,74,1.6547
'0:0:14.4,74,1.6646
'0:0:14.5,74,1.6742
'0:0:14.6,74,1.6571
'0:0:14.7,74,1.6530
'0:0:14.8,74,1.6522
'0:0:14.9,74,1.6552
'0:0:15.0,73,1.6563
'0:0:15.1,73,1.6571
'0:0:15.2,73,1.6593
'0:0:15.3,73,1.6637
'0:0:15.4,73,1.6541
'0:0:15.5,73,1.6604
'0:0:15.6,73,1.6585
'0:0:15.7,73,1.6567
'0:0:15.8,72,1.6583
'0:0:15.9,72,1.6564
'0:0:16.0,72,1.6510
'0:0:16.1,72,1.6551
'0:0:16.2,72,1.6566
'0:0:16.3,72,1.6570
'0:0:16.4,72,1.6574
'0:0:16.5,80,1.6578
'0:0:16.6,80,1.6578
'0:0:16.7,80,1.6575
'0:0:16.8,80,1.6573
'0:0:16.9,80,1.6570
'0:0:17.0,80,1.6568
'0:0:17.1,80,1.6566
'0:0:17.2,81,1.6568
'0:0:17.3,81,1.6573
'0:0:17.4,81,1.6567
'0:0:17.5,81,1.6564
'0:0:17.6,81,1.6562
'0:0:17.7,81,1.6560
'0:0:17.8,81,1.6559
'0:0:17.9,81,1.6563
'0:0:18.0,81,1.6570
'0:0:18.1,81,1.6564
'0:0:18.2,81,1.6552
'0:0:18.3,81,1.6555
'0:0:18.4,81,1.6548
'0:0:18.5,81,1.6581
'0:0:18.6,81,1.6594
'0:0:18.7,81,1.6605
'0:0:18.8,81,1.6573
'0:0:18.9,81,1.6518
'0:0:19.0,81,1.6604
'0:0:19.1,81,1.6670
'0:0:19.2,81,1.6522
'0:0:19.3,73,1.6536
'0:0:19.4,73,1.6528
'0:0:19.5,73,1.6607
'0:0:19.6,73,1.6563
'0:0:19.7,73,1.6519
'0:0:19.8,73,1.6507
'0:0:19.9,73,1.6488
'0:0:20.0,73,1.6506
'0:0:20.1,70,1.6558
'0:0:20.2,70,1.6566
'0:0:20.3,70,1.6675
'0:0:20.4,70,1.6582
'0:0:20.5,70,1.6345
'0:0:20.6,70,1.6385
'0:0:20.7,70,1.6500
'0:0:20.8,70,1.6555
'0:0:20.9,71,1.6566
'0:0:21.0,71,1.6581
'0:0:21.1,71,1.6582
'0:0:21.2,71,1.6588
'0:0:21.3,71,1.6594
'0:0:21.4,71,1.6597
'0:0:21.5,71,1.6601
'0:0:21.6,72,1.6604
'0:0:21.7,72,1.6611
'0:0:21.8,72,1.6609
'0:0:21.9,72,1.6609
'0:0:22.0,72,1.6609
'0:0:22.1,72,1.6607
'0:0:22.2,72,1.6605
'0:0:22.3,73,1.6604
'0:0:22.4,73,1.6607
'0:0:22.5,73,1.6604
'0:0:22.6,73,1.6598
'0:0:22.7,73,1.6596
'0:0:22.8,73,1.6593
'0:0:22.9,73,1.6592
'0:0:23.0,73,1.6590
'0:0:23.1,73,1.6598
'0:0:23.2,73,1.6597
'0:0:23.3,73,1.6597
'0:0:23.4,73,1.6600
'0:0:23.5,73,1.6601
'0:0:23.6,73,1.6612
'0:0:23.7,73,1.6620
'0:0:23.8,73,1.6623
'0:0:23.9,73,1.6622
'0:0:24.0,73,1.6619
'0:0:24.1,73,1.6627
'0:0:24.2,73,1.6638
'0:0:24.3,73,1.6646
'0:0:24.4,73,1.6642
'0:0:24.5,65,1.6629
'0:0:24.6,65,1.6619
'0:0:24.7,65,1.6611
'0:0:24.8,65,1.6627
'0:0:24.9,65,1.6659
'0:0:25.0,65,1.6612
'0:0:25.1,65,1.6597
'0:0:25.2,65,1.6601
'0:0:25.3,65,1.6585
'0:0:25.4,65,1.6590
'0:0:25.5,65,1.6609
'0:0:25.6,65,1.6624
'0:0:25.7,65,1.6607
'0:0:25.8,65,1.6579
'0:0:25.9,65,1.6571
'0:0:26.0,65,1.6502
'0:0:26.1,71,1.6539
'0:0:26.2,71,1.6541
'0:0:26.3,71,1.6536
'0:0:26.4,71,1.6544
'0:0:26.5,71,1.6555
'0:0:26.6,71,1.6533
'0:0:26.7,72,1.6524
'0:0:26.8,72,1.6492
'0:0:26.9,72,1.6484
'0:0:27.0,72,1.6524
'0:0:27.1,72,1.6543
'0:0:27.2,72,1.6552
'0:0:27.3,72,1.6551
