,Experiment name:,GSR20_nofilter_OS
Duration:,10 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,55,1.5230
'0:0:0.1,55,1.5250
'0:0:0.2,55,1.5276
'0:0:0.3,55,1.5307
'0:0:0.4,55,1.5325
'0:0:0.5,55,1.5352
'0:0:0.6,55,1.5380
'0:0:0.7,55,1.5421
'0:0:0.8,55,1.5456
'0:0:0.9,55,1.5480
'0:0:1.0,55,1.5518
'0:0:1.1,55,1.5553
'0:0:1.2,55,1.5578
'0:0:1.3,55,1.5606
'0:0:1.4,55,1.5638
'0:0:1.5,55,1.5672
'0:0:1.6,55,1.5708
'0:0:1.7,55,1.5745
'0:0:1.8,55,1.5776
'0:0:1.9,55,1.5795
'0:0:2.0,55,1.5813
'0:0:2.1,55,1.5850
'0:0:2.2,55,1.5897
'0:0:2.3,55,1.5928
'0:0:2.4,55,1.5949
'0:0:2.5,55,1.5955
'0:0:2.6,55,1.5959
'0:0:2.7,55,1.5954
'0:0:2.8,55,1.5967
'0:0:2.9,55,1.5975
'0:0:3.0,55,1.5986
'0:0:3.1,55,1.5987
'0:0:3.2,55,1.5982
'0:0:3.3,55,1.5978
'0:0:3.4,55,1.5971
'0:0:3.5,55,1.5962
'0:0:3.6,55,1.5954
'0:0:3.7,55,1.5941
'0:0:3.8,55,1.5921
'0:0:3.9,55,1.5909
'0:0:4.0,55,1.5893
'0:0:4.1,55,1.5877
'0:0:4.2,55,1.5864
'0:0:4.3,55,1.5843
'0:0:4.4,55,1.5828
'0:0:4.5,55,1.5808
'0:0:4.6,55,1.5788
'0:0:4.7,55,1.5770
'0:0:4.8,55,1.5750
'0:0:4.9,55,1.5732
'0:0:5.0,55,1.5711
'0:0:5.1,55,1.5681
'0:0:5.2,55,1.5652
'0:0:5.3,55,1.5637
'0:0:5.4,55,1.5621
'0:0:5.5,55,1.5597
'0:0:5.6,55,1.5575
'0:0:5.7,55,1.5558
'0:0:5.8,55,1.5541
'0:0:5.9,55,1.5540
'0:0:6.0,55,1.5536
'0:0:6.1,55,1.5512
'0:0:6.2,55,1.5503
'0:0:6.3,55,1.5497
'0:0:6.4,55,1.5474
'0:0:6.5,55,1.5451
'0:0:6.6,55,1.5434
'0:0:6.7,55,1.5430
'0:0:6.8,55,1.5411
'0:0:6.9,56,1.5394
'0:0:7.0,56,1.5372
'0:0:7.1,56,1.5352
'0:0:7.2,56,1.5335
'0:0:7.3,56,1.5317
'0:0:7.4,56,1.5299
'0:0:7.5,56,1.5281
'0:0:7.6,56,1.5265
'0:0:7.7,56,1.5251
'0:0:7.8,56,1.5237
'0:0:7.9,56,1.5224
'0:0:8.0,56,1.5211
'0:0:8.1,56,1.5192
'0:0:8.2,56,1.5178
'0:0:8.3,56,1.5171
'0:0:8.4,56,1.5158
'0:0:8.5,56,1.5147
'0:0:8.6,56,1.5128
'0:0:8.7,56,1.5110
'0:0:8.8,56,1.5095
'0:0:8.9,56,1.5082
'0:0:9.0,56,1.5072
'0:0:9.1,56,1.5058
'0:0:9.2,56,1.5056
'0:0:9.3,56,1.5035
'0:0:9.4,56,1.5011
'0:0:9.5,56,1.4996
'0:0:9.6,56,1.4981
'0:0:9.7,56,1.4969
'0:0:9.8,56,1.4955
'0:0:9.9,56,1.4945
'0:0:10.0,56,1.4930
'0:0:10.1,56,1.4921
'0:0:10.2,56,1.4909
'0:0:10.3,56,1.4894
'0:0:10.4,56,1.4880
'0:0:10.5,56,1.4871
'0:0:10.6,56,1.4864
'0:0:10.7,56,1.4855
'0:0:10.8,56,1.4845
'0:0:10.9,56,1.4832
'0:0:11.0,56,1.4822
'0:0:11.1,56,1.4812
'0:0:11.2,56,1.4810
'0:0:11.3,56,1.4803
'0:0:11.4,56,1.4801
'0:0:11.5,56,1.4803
'0:0:11.6,56,1.4810
'0:0:11.7,56,1.4835
'0:0:11.8,56,1.4850
'0:0:11.9,56,1.4865
'0:0:12.0,56,1.4879
'0:0:12.1,57,1.4905
'0:0:12.2,57,1.4931
'0:0:12.3,57,1.4960
'0:0:12.4,57,1.4985
'0:0:12.5,57,1.5009
'0:0:12.6,57,1.5034
'0:0:12.7,57,1.5059
'0:0:12.8,57,1.5081
'0:0:12.9,57,1.5096
'0:0:13.0,57,1.5111
'0:0:13.1,57,1.5125
'0:0:13.2,57,1.5134
'0:0:13.3,57,1.5142
'0:0:13.4,57,1.5155
'0:0:13.5,57,1.5166
'0:0:13.6,57,1.5167
'0:0:13.7,57,1.5167
'0:0:13.8,57,1.5168
'0:0:13.9,57,1.5177
'0:0:14.0,57,1.5175
'0:0:14.1,57,1.5172
'0:0:14.2,57,1.5172
'0:0:14.3,57,1.5169
'0:0:14.4,57,1.5166
'0:0:14.5,57,1.5157
'0:0:14.6,57,1.5152
'0:0:14.7,57,1.5154
'0:0:14.8,57,1.5145
'0:0:14.9,57,1.5135
'0:0:15.0,57,1.5121
'0:0:15.1,57,1.5114
'0:0:15.2,57,1.5111
'0:0:15.3,57,1.5105
'0:0:15.4,57,1.5097
'0:0:15.5,57,1.5088
'0:0:15.6,57,1.5075
'0:0:15.7,57,1.5061
'0:0:15.8,57,1.5046
'0:0:15.9,57,1.5029
'0:0:16.0,57,1.5015
'0:0:16.1,57,1.4999
'0:0:16.2,57,1.4983
'0:0:16.3,57,1.4969
'0:0:16.4,57,1.4952
'0:0:16.5,57,1.4936
'0:0:16.6,57,1.4912
'0:0:16.7,57,1.4894
'0:0:16.8,57,1.4876
'0:0:16.9,57,1.4862
'0:0:17.0,57,1.4852
'0:0:17.1,57,1.4835
'0:0:17.2,57,1.4820
'0:0:17.3,58,1.4798
'0:0:17.4,58,1.4783
'0:0:17.5,58,1.4770
'0:0:17.6,58,1.4763
'0:0:17.7,58,1.4754
'0:0:17.8,58,1.4747
'0:0:17.9,58,1.4743
'0:0:18.0,58,1.4748
'0:0:18.1,58,1.4749
'0:0:18.2,58,1.4754
'0:0:18.3,58,1.4761
'0:0:18.4,58,1.4773
'0:0:18.5,58,1.4790
'0:0:18.6,58,1.4796
'0:0:18.7,58,1.4806
'0:0:18.8,58,1.4819
'0:0:18.9,58,1.4832
'0:0:19.0,58,1.4855
'0:0:19.1,58,1.4871
'0:0:19.2,58,1.4864
'0:0:19.3,58,1.4867
'0:0:19.4,58,1.4876
'0:0:19.5,58,1.4882
'0:0:19.6,58,1.4887
'0:0:19.7,58,1.4892
'0:0:19.8,58,1.4892
'0:0:19.9,58,1.4891
'0:0:20.0,58,1.4894
'0:0:20.1,58,1.4892
'0:0:20.2,58,1.4889
'0:0:20.3,58,1.4889
'0:0:20.4,58,1.4884
'0:0:20.5,58,1.4881
'0:0:20.6,58,1.4879
'0:0:20.7,58,1.4871
'0:0:20.8,58,1.4865
'0:0:20.9,58,1.4860
'0:0:21.0,58,1.4859
'0:0:21.1,58,1.4851
'0:0:21.2,58,1.4840
'0:0:21.3,58,1.4835
'0:0:21.4,58,1.4829
'0:0:21.5,58,1.4824
'0:0:21.6,58,1.4816
'0:0:21.7,58,1.4807
'0:0:21.8,58,1.4800
'0:0:21.9,58,1.4795
'0:0:22.0,58,1.4788
'0:0:22.1,58,1.4778
'0:0:22.2,58,1.4773
'0:0:22.3,58,1.4760
'0:0:22.4,58,1.4754
'0:0:22.5,58,1.4757
'0:0:22.6,58,1.4749
'0:0:22.7,58,1.4740
'0:0:22.8,58,1.4734
'0:0:22.9,58,1.4727
'0:0:23.0,58,1.4717
'0:0:23.1,58,1.4708
'0:0:23.2,58,1.4695
'0:0:23.3,58,1.4688
'0:0:23.4,58,1.4680
'0:0:23.5,58,1.4670
'0:0:23.6,58,1.4662
'0:0:23.7,58,1.4653
'0:0:23.8,58,1.4643
'0:0:23.9,58,1.4641
'0:0:24.0,58,1.4632
'0:0:24.1,58,1.4629
'0:0:24.2,58,1.4614
'0:0:24.3,58,1.4601
'0:0:24.4,58,1.4593
'0:0:24.5,58,1.4585
'0:0:24.6,58,1.4574
'0:0:24.7,58,1.4566
'0:0:24.8,58,1.4558
'0:0:24.9,58,1.4545
'0:0:25.0,58,1.4537
'0:0:25.1,58,1.4527
'0:0:25.2,58,1.4521
'0:0:25.3,58,1.4516
'0:0:25.4,58,1.4513
'0:0:25.5,58,1.4515
'0:0:25.6,57,1.4522
'0:0:25.7,57,1.4518
'0:0:25.8,57,1.4516
'0:0:25.9,57,1.4512
'0:0:26.0,57,1.4515
'0:0:26.1,57,1.4522
'0:0:26.2,57,1.4523
'0:0:26.3,57,1.4527
'0:0:26.4,57,1.4529
'0:0:26.5,57,1.4533
'0:0:26.6,57,1.4537
'0:0:26.7,57,1.4537
'0:0:26.8,57,1.4536
'0:0:26.9,57,1.4533
'0:0:27.0,57,1.4533
'0:0:27.1,57,1.4536
'0:0:27.2,57,1.4534
'0:0:27.3,57,1.4537
