,Experiment name:,GSR47_nofilter_OS
Duration:,30 0
Rate:,5 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,67,4.2980
'0:0:0.2,67,4.3037
'0:0:0.4,67,4.3086
'0:0:0.6,67,4.3135
'0:0:0.8,67,4.3200
'0:0:1.0,67,4.3169
'0:0:1.2,67,4.3165
'0:0:1.4,67,4.3162
'0:0:1.6,67,4.3154
'0:0:1.8,68,4.3112
'0:0:2.0,68,4.3056
'0:0:2.2,68,4.2992
'0:0:2.4,68,4.2931
'0:0:2.6,68,4.2856
'0:0:2.8,68,4.2781
'0:0:3.0,68,4.2755
'0:0:3.2,68,4.2830
'0:0:3.4,68,4.3014
'0:0:3.6,68,4.3211
'0:0:3.8,68,4.3413
'0:0:4.0,68,4.3554
'0:0:4.2,68,4.3662
'0:0:4.4,69,4.3712
'0:0:4.6,69,4.3735
'0:0:4.8,69,4.3743
'0:0:5.0,69,4.3739
'0:0:5.2,69,4.3673
'0:0:5.4,69,4.3585
'0:0:5.6,69,4.3505
'0:0:5.8,69,4.3405
'0:0:6.0,69,4.3325
'0:0:6.2,69,4.3253
'0:0:6.4,69,4.3222
'0:0:6.6,69,4.3241
'0:0:6.8,69,4.3291
'0:0:7.0,69,4.3333
'0:0:7.2,69,4.3352
'0:0:7.4,69,4.3359
'0:0:7.6,69,4.3375
'0:0:7.8,69,4.3398
'0:0:8.0,69,4.3413
'0:0:8.2,69,4.3409
'0:0:8.4,69,4.3390
'0:0:8.6,69,4.3356
'0:0:8.8,68,4.3306
'0:0:9.0,68,4.3230
'0:0:9.2,68,4.3150
'0:0:9.4,68,4.3067
'0:0:9.6,68,4.2980
'0:0:9.8,68,4.2886
'0:0:10.0,68,4.2804
'0:0:10.2,68,4.2729
'0:0:10.4,68,4.2661
'0:0:10.6,68,4.2587
'0:0:10.8,68,4.2520
'0:0:11.0,68,4.2464
'0:0:11.2,68,4.2427
'0:0:11.4,68,4.2390
'0:0:11.6,68,4.2357
'0:0:11.8,68,4.2334
'0:0:12.0,68,4.2320
'0:0:12.2,68,4.2323
'0:0:12.4,68,4.2327
'0:0:12.6,68,4.2331
'0:0:12.8,68,4.2334
'0:0:13.0,68,4.2327
'0:0:13.2,67,4.2294
'0:0:13.4,67,4.2253
'0:0:13.6,67,4.2205
'0:0:13.8,67,4.2154
'0:0:14.0,67,4.2110
'0:0:14.2,67,4.2051
'0:0:14.4,67,4.1996
'0:0:14.6,67,4.1952
'0:0:14.8,67,4.1923
'0:0:15.0,67,4.1916
'0:0:15.2,67,4.1945
'0:0:15.4,67,4.2011
'0:0:15.6,67,4.2110
'0:0:15.8,67,4.2242
'0:0:16.0,67,4.2375
'0:0:16.2,67,4.2520
'0:0:16.4,67,4.2639
'0:0:16.6,67,4.2710
'0:0:16.8,67,4.2740
'0:0:17.0,67,4.2736
'0:0:17.2,67,4.2729
'0:0:17.4,67,4.2699
'0:0:17.6,67,4.2650
'0:0:17.8,67,4.2587
'0:0:18.0,67,4.2531
'0:0:18.2,67,4.2479
'0:0:18.4,67,4.2427
'0:0:18.6,67,4.2357
'0:0:18.8,67,4.2301
'0:0:19.0,67,4.2253
'0:0:19.2,67,4.2198
'0:0:19.4,67,4.2146
'0:0:19.6,67,4.2084
'0:0:19.8,67,4.2033
'0:0:20.0,67,4.1978
'0:0:20.2,67,4.1930
'0:0:20.4,66,4.1876
'0:0:20.6,66,4.1832
'0:0:20.8,66,4.1814
'0:0:21.0,66,4.1825
'0:0:21.2,66,4.1846
'0:0:21.4,66,4.1857
'0:0:21.6,66,4.1879
'0:0:21.8,66,4.1897
'0:0:22.0,66,4.1908
'0:0:22.2,66,4.1927
'0:0:22.4,66,4.1956
'0:0:22.6,66,4.1978
'0:0:22.8,66,4.1989
'0:0:23.0,66,4.1985
'0:0:23.2,66,4.1960
'0:0:23.4,66,4.1923
'0:0:23.6,66,4.1879
'0:0:23.8,66,4.1839
'0:0:24.0,66,4.1788
'0:0:24.2,66,4.1741
'0:0:24.4,66,4.1701
'0:0:24.6,66,4.1668
'0:0:24.8,66,4.1636
'0:0:25.0,66,4.1589
'0:0:25.2,66,4.1553
'0:0:25.4,66,4.1513
'0:0:25.6,66,4.1473
'0:0:25.8,66,4.1434
'0:0:26.0,66,4.1391
'0:0:26.2,66,4.1355
'0:0:26.4,66,4.1326
'0:0:26.6,66,4.1290
'0:0:26.8,66,4.1255
'0:0:27.0,66,4.1226
'0:0:27.2,66,4.1197
'0:0:27.4,66,4.1169
'0:0:27.6,66,4.1140
'0:0:27.8,66,4.1108
'0:0:28.0,66,4.1073
'0:0:28.2,66,4.1041
'0:0:28.4,66,4.1009
'0:0:28.6,66,4.0984
'0:0:28.8,66,4.0973
'0:0:29.0,66,4.0977
'0:0:29.2,66,4.1002
'0:0:29.4,66,4.1034
'0:0:29.6,66,4.1091
'0:0:29.8,66,4.1126
'0:0:30.0,66,4.1155
'0:0:30.2,66,4.1176
'0:0:30.4,66,4.1180
'0:0:30.6,66,4.1183
'0:0:30.8,66,4.1194
'0:0:31.0,66,4.1201
'0:0:31.2,66,4.1201
'0:0:31.4,66,4.1201
'0:0:31.6,66,4.1208
'0:0:31.8,66,4.1197
'0:0:32.0,67,4.1180
'0:0:32.2,67,4.1151
'0:0:32.4,67,4.1123
'0:0:32.6,67,4.1112
'0:0:32.8,67,4.1108
'0:0:33.0,67,4.1112
'0:0:33.2,67,4.1115
'0:0:33.4,67,4.1126
'0:0:33.6,67,4.1130
'0:0:33.8,67,4.1130
'0:0:34.0,67,4.1137
'0:0:34.2,67,4.1169
'0:0:34.4,67,4.1233
'0:0:34.6,67,4.1315
'0:0:34.8,67,4.1369
'0:0:35.0,67,4.1402
'0:0:35.2,67,4.1434
'0:0:35.4,67,4.1459
'0:0:35.6,67,4.1492
'0:0:35.8,67,4.1520
'0:0:36.0,67,4.1560
'0:0:36.2,67,4.1596
'0:0:36.4,67,4.1621
'0:0:36.6,67,4.1611
'0:0:36.8,67,4.1589
'0:0:37.0,67,4.1585
'0:0:37.2,67,4.1596
'0:0:37.4,67,4.1611
'0:0:37.6,67,4.1614
'0:0:37.8,67,4.1607
'0:0:38.0,67,4.1589
'0:0:38.2,67,4.1567
'0:0:38.4,67,4.1531
'0:0:38.6,67,4.1502
'0:0:38.8,67,4.1470
'0:0:39.0,67,4.1448
'0:0:39.2,67,4.1456
'0:0:39.4,67,4.1499
'0:0:39.6,67,4.1585
'0:0:39.8,67,4.1672
'0:0:40.0,67,4.1741
'0:0:40.2,67,4.1766
'0:0:40.4,67,4.1770
'0:0:40.6,67,4.1774
'0:0:40.8,68,4.1763
'0:0:41.0,68,4.1723
'0:0:41.2,68,4.1679
'0:0:41.4,68,4.1654
'0:0:41.6,68,4.1640
'0:0:41.8,68,4.1629
'0:0:42.0,68,4.1621
'0:0:42.2,68,4.1607
'0:0:42.4,68,4.1571
'0:0:42.6,68,4.1531
'0:0:42.8,68,4.1517
'0:0:43.0,68,4.1466
'0:0:43.2,68,4.1412
'0:0:43.4,68,4.1369
'0:0:43.6,68,4.1351
'0:0:43.8,68,4.1351
'0:0:44.0,68,4.1369
'0:0:44.2,68,4.1398
'0:0:44.4,69,4.1434
'0:0:44.6,69,4.1492
'0:0:44.8,69,4.1564
'0:0:45.0,69,4.1629
'0:0:45.2,69,4.1668
'0:0:45.4,69,4.1683
'0:0:45.6,69,4.1690
'0:0:45.8,69,4.1679
'0:0:46.0,69,4.1650
'0:0:46.2,69,4.1607
'0:0:46.4,69,4.1578
'0:0:46.6,69,4.1556
'0:0:46.8,69,4.1542
'0:0:47.0,69,4.1510
'0:0:47.2,69,4.1477
'0:0:47.4,69,4.1441
'0:0:47.6,69,4.1402
'0:0:47.8,69,4.1355
'0:0:48.0,69,4.1308
'0:0:48.2,69,4.1262
'0:0:48.4,69,4.1222
'0:0:48.6,69,4.1180
'0:0:48.8,69,4.1133
'0:0:49.0,69,4.1087
'0:0:49.2,69,4.1055
'0:0:49.4,69,4.1019
'0:0:49.6,69,4.0980
'0:0:49.8,69,4.0949
