,Experiment name:,Sample experiment
Duration:,30 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,69,0.0881
'0:0:0.1,69,0.0880
'0:0:0.2,69,0.0882
'0:0:0.3,69,0.0882
'0:0:0.4,69,0.0882
'0:0:0.5,69,0.0883
'0:0:0.6,69,0.0886
'0:0:0.7,69,0.0888
'0:0:0.8,69,0.0889
'0:0:0.9,69,0.0891
'0:0:1.0,69,0.0896
'0:0:1.1,69,0.0895
'0:0:1.2,69,0.0895
'0:0:1.3,69,0.0896
'0:0:1.4,69,0.0901
'0:0:1.5,69,0.0902
'0:0:1.6,69,0.0903
'0:0:1.7,69,0.0905
'0:0:1.8,69,0.0907
'0:0:1.9,69,0.0908
'0:0:2.0,69,0.0911
'0:0:2.1,69,0.0912
'0:0:2.2,69,0.0915
'0:0:2.3,69,0.0915
'0:0:2.4,69,0.0915
'0:0:2.5,69,0.0917
'0:0:2.6,69,0.0918
'0:0:2.7,69,0.0920
'0:0:2.8,69,0.0922
'0:0:2.9,69,0.0925
'0:0:3.0,69,0.0928
'0:0:3.1,69,0.0930
'0:0:3.2,69,0.0933
'0:0:3.3,69,0.0935
'0:0:3.4,69,0.0937
'0:0:3.5,69,0.0941
'0:0:3.6,69,0.0947
'0:0:3.7,69,0.0948
'0:0:3.8,69,0.0952
'0:0:3.9,69,0.0956
'0:0:4.0,69,0.0955
'0:0:4.1,69,0.0956
'0:0:4.2,70,0.0960
'0:0:4.3,70,0.0962
'0:0:4.4,70,0.0964
'0:0:4.5,70,0.0967
'0:0:4.6,70,0.0969
'0:0:4.7,70,0.0972
'0:0:4.8,70,0.0976
'0:0:4.9,70,0.0977
'0:0:5.0,70,0.0979
'0:0:5.1,69,0.0981
'0:0:5.2,69,0.0983
'0:0:5.3,69,0.0984
'0:0:5.4,69,0.0985
'0:0:5.5,69,0.0986
'0:0:5.6,69,0.0988
'0:0:5.7,69,0.0990
'0:0:5.8,69,0.0992
'0:0:5.9,69,0.0994
'0:0:6.0,69,0.0996
'0:0:6.1,69,0.0999
'0:0:6.2,69,0.1001
'0:0:6.3,69,0.1003
'0:0:6.4,69,0.1003
'0:0:6.5,69,0.1004
'0:0:6.6,69,0.1006
'0:0:6.7,69,0.1008
'0:0:6.8,69,0.1010
'0:0:6.9,69,0.1011
'0:0:7.0,69,0.1011
'0:0:7.1,69,0.1011
'0:0:7.2,69,0.1011
'0:0:7.3,69,0.1012
'0:0:7.4,69,0.1012
'0:0:7.5,69,0.1013
'0:0:7.6,69,0.1014
'0:0:7.7,69,0.1015
'0:0:7.8,69,0.1014
'0:0:7.9,69,0.1014
'0:0:8.0,69,0.1015
'0:0:8.1,69,0.1016
'0:0:8.2,69,0.1016
'0:0:8.3,69,0.1015
'0:0:8.4,69,0.1016
'0:0:8.5,69,0.1018
'0:0:8.6,69,0.1018
'0:0:8.7,69,0.1019
'0:0:8.8,69,0.1019
'0:0:8.9,69,0.1019
'0:0:9.0,69,0.1020
'0:0:9.1,69,0.1022
'0:0:9.2,69,0.1022
'0:0:9.3,69,0.1022
'0:0:9.4,69,0.1023
'0:0:9.5,69,0.1025
'0:0:9.6,69,0.1025
'0:0:9.7,69,0.1025
'0:0:9.8,69,0.1026
'0:0:9.9,69,0.1027
'0:0:10.0,69,0.1027
'0:0:10.1,69,0.1027
'0:0:10.2,70,0.1028
'0:0:10.3,70,0.1031
'0:0:10.4,70,0.1031
'0:0:10.5,70,0.1031
'0:0:10.6,70,0.1031
'0:0:10.7,70,0.1032
'0:0:10.8,70,0.1031
'0:0:10.9,70,0.1031
'0:0:11.0,70,0.1031
'0:0:11.1,70,0.1032
'0:0:11.2,70,0.1033
'0:0:11.3,70,0.1031
'0:0:11.4,70,0.1031
'0:0:11.5,70,0.1032
'0:0:11.6,70,0.1032
'0:0:11.7,70,0.1033
'0:0:11.8,70,0.1032
'0:0:11.9,70,0.1032
'0:0:12.0,70,0.1034
'0:0:12.1,70,0.1032
'0:0:12.2,70,0.1032
'0:0:12.3,70,0.1032
'0:0:12.4,70,0.1033
'0:0:12.5,70,0.1034
'0:0:12.6,70,0.1034
'0:0:12.7,70,0.1036
'0:0:12.8,70,0.1036
'0:0:12.9,70,0.1036
'0:0:13.0,70,0.1036
'0:0:13.1,70,0.1036
'0:0:13.2,70,0.1038
'0:0:13.3,70,0.1040
'0:0:13.4,70,0.1038
'0:0:13.5,70,0.1037
'0:0:13.6,70,0.1037
'0:0:13.7,70,0.1037
'0:0:13.8,70,0.1037
'0:0:13.9,70,0.1038
'0:0:14.0,70,0.1038
'0:0:14.1,70,0.1040
'0:0:14.2,70,0.1040
'0:0:14.3,70,0.1041
'0:0:14.4,70,0.1044
'0:0:14.5,70,0.1044
'0:0:14.6,70,0.1049
'0:0:14.7,70,0.1082
'0:0:14.8,70,0.1116
'0:0:14.9,70,0.1123
'0:0:15.0,70,0.1126
'0:0:15.1,70,0.1129
'0:0:15.2,70,0.1132
'0:0:15.3,70,0.1134
'0:0:15.4,69,0.1133
'0:0:15.5,69,0.1135
'0:0:15.6,69,0.1133
'0:0:15.7,69,0.1134
'0:0:15.8,69,0.1135
'0:0:15.9,69,0.1136
'0:0:16.0,69,0.1134
'0:0:16.1,69,0.1136
