,Experiment name:,Sample experiment
Duration:,30 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,68,0.5794
'0:0:0.1,68,0.5795
'0:0:0.2,68,0.5799
'0:0:0.3,68,0.5798
'0:0:0.4,68,0.5799
'0:0:0.5,69,0.5797
'0:0:0.6,69,0.5795
'0:0:0.7,69,0.5793
'0:0:0.8,69,0.5790
'0:0:0.9,69,0.5780
'0:0:1.0,69,0.5777
'0:0:1.1,69,0.5776
'0:0:1.2,69,0.5770
'0:0:1.3,69,0.5763
'0:0:1.4,69,0.5761
'0:0:1.5,69,0.5758
'0:0:1.6,69,0.5751
'0:0:1.7,69,0.5744
'0:0:1.8,69,0.5739
'0:0:1.9,69,0.5735
'0:0:2.0,69,0.5732
'0:0:2.1,69,0.5728
'0:0:2.2,69,0.5725
'0:0:2.3,69,0.5714
'0:0:2.4,69,0.5709
'0:0:2.5,69,0.5708
'0:0:2.6,69,0.5703
'0:0:2.7,69,0.5698
'0:0:2.8,69,0.5692
'0:0:2.9,69,0.5695
'0:0:3.0,69,0.5693
'0:0:3.1,69,0.5688
'0:0:3.2,69,0.5685
'0:0:3.3,69,0.5678
'0:0:3.4,69,0.5673
'0:0:3.5,69,0.5667
'0:0:3.6,69,0.5660
'0:0:3.7,69,0.5655
'0:0:3.8,69,0.5650
'0:0:3.9,69,0.5645
'0:0:4.0,69,0.5642
'0:0:4.1,69,0.5637
'0:0:4.2,69,0.5635
'0:0:4.3,69,0.5631
'0:0:4.4,69,0.5629
'0:0:4.5,69,0.5627
'0:0:4.6,69,0.5623
'0:0:4.7,69,0.5617
'0:0:4.8,65,0.5611
'0:0:4.9,65,0.5609
'0:0:5.0,65,0.5609
'0:0:5.1,65,0.5607
'0:0:5.2,65,0.5606
'0:0:5.3,65,0.5607
'0:0:5.4,65,0.5603
'0:0:5.5,65,0.5602
'0:0:5.6,65,0.5603
'0:0:5.7,65,0.5599
'0:0:5.8,65,0.5592
'0:0:5.9,65,0.5589
'0:0:6.0,65,0.5580
'0:0:6.1,65,0.5576
'0:0:6.2,65,0.5570
'0:0:6.3,65,0.5564
'0:0:6.4,65,0.5559
'0:0:6.5,65,0.5557
'0:0:6.6,65,0.5549
'0:0:6.7,65,0.5547
'0:0:6.8,65,0.5544
'0:0:6.9,65,0.5537
'0:0:7.0,65,0.5539
'0:0:7.1,65,0.5537
'0:0:7.2,65,0.5527
'0:0:7.3,65,0.5523
'0:0:7.4,66,0.5524
'0:0:7.5,66,0.5516
'0:0:7.6,66,0.5507
'0:0:7.7,66,0.5503
'0:0:7.8,66,0.5498
'0:0:7.9,66,0.5492
'0:0:8.0,66,0.5485
'0:0:8.1,66,0.5478
'0:0:8.2,66,0.5471
'0:0:8.3,66,0.5478
'0:0:8.4,66,0.5485
'0:0:8.5,66,0.5482
'0:0:8.6,66,0.5477
'0:0:8.7,66,0.5474
'0:0:8.8,66,0.5468
'0:0:8.9,66,0.5462
'0:0:9.0,66,0.5458
'0:0:9.1,66,0.5453
'0:0:9.2,66,0.5449
'0:0:9.3,66,0.5448
'0:0:9.4,66,0.5443
'0:0:9.5,66,0.5437
'0:0:9.6,66,0.5433
'0:0:9.7,66,0.5427
'0:0:9.8,66,0.5424
'0:0:9.9,66,0.5425
'0:0:10.0,66,0.5423
'0:0:10.1,66,0.5416
'0:0:10.2,66,0.5415
'0:0:10.3,66,0.5411
'0:0:10.4,66,0.5406
'0:0:10.5,66,0.5408
'0:0:10.6,66,0.5408
'0:0:10.7,66,0.5408
'0:0:10.8,66,0.5402
'0:0:10.9,66,0.5401
'0:0:11.0,66,0.5399
'0:0:11.1,66,0.5399
'0:0:11.2,66,0.5405
'0:0:11.3,66,0.5400
'0:0:11.4,66,0.5391
'0:0:11.5,66,0.5389
'0:0:11.6,71,0.5388
'0:0:11.7,71,0.5391
'0:0:11.8,71,0.5386
'0:0:11.9,71,0.5382
'0:0:12.0,71,0.5378
'0:0:12.1,71,0.5374
'0:0:12.2,71,0.5369
'0:0:12.3,71,0.5365
'0:0:12.4,70,0.5361
'0:0:12.5,70,0.5357
'0:0:12.6,70,0.5353
'0:0:12.7,70,0.5351
'0:0:12.8,70,0.5346
'0:0:12.9,70,0.5343
'0:0:13.0,70,0.5338
'0:0:13.1,70,0.5335
'0:0:13.2,70,0.5331
'0:0:13.3,70,0.5324
'0:0:13.4,70,0.5319
'0:0:13.5,70,0.5315
'0:0:13.6,70,0.5311
'0:0:13.7,70,0.5307
'0:0:13.8,70,0.5301
'0:0:13.9,70,0.5295
'0:0:14.0,70,0.5289
'0:0:14.1,70,0.5282
'0:0:14.2,70,0.5279
'0:0:14.3,70,0.5276
'0:0:14.4,70,0.5272
'0:0:14.5,70,0.5269
'0:0:14.6,70,0.5264
'0:0:14.7,70,0.5260
'0:0:14.8,70,0.5257
'0:0:14.9,70,0.5255
'0:0:15.0,70,0.5251
'0:0:15.1,70,0.5250
'0:0:15.2,70,0.5245
'0:0:15.3,70,0.5243
'0:0:15.4,70,0.5238
'0:0:15.5,70,0.5233
'0:0:15.6,70,0.5229
'0:0:15.7,70,0.5225
'0:0:15.8,70,0.5222
'0:0:15.9,70,0.5219
'0:0:16.0,70,0.5217
'0:0:16.1,70,0.5215
