,Experiment name:,Sample experiment
Duration:,30 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,65,0.0349
'0:0:0.1,65,0.0347
'0:0:0.2,65,0.0349
'0:0:0.3,65,0.0348
'0:0:0.4,65,0.0349
'0:0:0.5,66,0.0349
'0:0:0.6,66,0.0349
'0:0:0.7,66,0.0348
'0:0:0.8,66,0.0349
'0:0:0.9,66,0.0349
'0:0:1.0,66,0.0349
'0:0:1.1,66,0.0350
'0:0:1.2,66,0.0350
'0:0:1.3,66,0.0349
'0:0:1.4,66,0.0349
'0:0:1.5,66,0.0349
'0:0:1.6,66,0.0348
'0:0:1.7,66,0.0349
'0:0:1.8,66,0.0348
'0:0:1.9,66,0.0348
'0:0:2.0,66,0.0349
'0:0:2.1,66,0.0349
'0:0:2.2,66,0.0349
'0:0:2.3,66,0.0349
'0:0:2.4,66,0.0349
'0:0:2.5,66,0.0349
'0:0:2.6,66,0.0349
'0:0:2.7,66,0.0349
'0:0:2.8,66,0.0348
'0:0:2.9,66,0.0349
'0:0:3.0,66,0.0349
'0:0:3.1,66,0.0349
'0:0:3.2,53,0.0349
'0:0:3.3,53,0.0349
'0:0:3.4,53,0.0349
'0:0:3.5,53,0.0349
'0:0:3.6,53,0.0349
'0:0:3.7,53,0.0349
'0:0:3.8,53,0.0349
'0:0:3.9,53,0.0349
'0:0:4.0,53,0.0349
'0:0:4.1,53,0.0349
'0:0:4.2,53,0.0349
'0:0:4.3,53,0.0349
'0:0:4.4,53,0.0349
'0:0:4.5,53,0.0349
'0:0:4.6,53,0.0349
'0:0:4.7,53,0.0349
'0:0:4.8,53,0.0349
'0:0:4.9,53,0.0349
'0:0:5.0,53,0.0349
'0:0:5.1,53,0.0349
'0:0:5.2,53,0.0349
'0:0:5.3,53,0.0349
'0:0:5.4,53,0.0349
'0:0:5.5,53,0.0349
'0:0:5.6,53,0.0349
'0:0:5.7,53,0.0349
'0:0:5.8,53,0.0349
'0:0:5.9,53,0.0349
'0:0:6.0,53,0.0349
'0:0:6.1,53,0.0349
'0:0:6.2,53,0.0349
'0:0:6.3,53,0.0349
'0:0:6.4,53,0.0349
'0:0:6.5,53,0.0349
'0:0:6.6,53,0.0348
'0:0:6.7,53,0.0349
'0:0:6.8,53,0.0349
'0:0:6.9,53,0.0349
'0:0:7.0,53,0.0349
'0:0:7.1,53,0.0349
'0:0:7.2,53,0.0348
'0:0:7.3,53,0.0349
'0:0:7.4,53,0.0349
'0:0:7.5,53,0.0349
'0:0:7.6,53,0.0349
'0:0:7.7,53,0.0349
'0:0:7.8,53,0.0349
'0:0:7.9,53,0.0349
'0:0:8.0,53,0.0349
'0:0:8.1,53,0.0349
'0:0:8.2,53,0.0349
'0:0:8.3,53,0.0349
'0:0:8.4,53,0.0349
'0:0:8.5,53,0.0349
'0:0:8.6,53,0.0349
'0:0:8.7,53,0.0349
'0:0:8.8,53,0.0348
'0:0:8.9,53,0.0347
'0:0:9.0,53,0.0345
'0:0:9.1,53,0.0352
'0:0:9.2,53,0.0351
'0:0:9.3,53,0.0350
'0:0:9.4,56,0.0349
'0:0:9.5,56,0.0349
'0:0:9.6,56,0.0349
'0:0:9.7,56,0.0349
'0:0:9.8,56,0.0350
'0:0:9.9,56,0.0351
'0:0:10.0,56,0.0351
'0:0:10.1,56,0.0346
'0:0:10.2,56,0.0347
'0:0:10.3,55,0.0348
'0:0:10.4,55,0.0350
'0:0:10.5,55,0.0355
'0:0:10.6,55,0.0354
'0:0:10.7,55,0.0348
'0:0:10.8,55,0.0344
'0:0:10.9,55,0.0347
'0:0:11.0,55,0.0347
'0:0:11.1,55,0.0346
'0:0:11.2,55,0.0350
'0:0:11.3,55,0.0354
'0:0:11.4,55,0.0350
'0:0:11.5,55,0.0349
'0:0:11.6,55,0.0349
'0:0:11.7,55,0.0348
'0:0:11.8,55,0.0351
'0:0:11.9,55,0.0355
'0:0:12.0,55,0.0350
'0:0:12.1,55,0.0347
'0:0:12.2,55,0.0345
'0:0:12.3,55,0.0345
'0:0:12.4,55,0.0345
'0:0:12.5,55,0.0347
'0:0:12.6,55,0.0353
'0:0:12.7,55,0.0351
'0:0:12.8,55,0.0352
'0:0:12.9,55,0.0352
'0:0:13.0,55,0.0353
'0:0:13.1,55,0.0352
'0:0:13.2,55,0.0350
'0:0:13.3,55,0.0349
'0:0:13.4,55,0.0348
'0:0:13.5,55,0.0349
'0:0:13.6,55,0.0349
'0:0:13.7,55,0.0349
'0:0:13.8,58,0.0348
'0:0:13.9,58,0.0345
'0:0:14.0,58,0.0349
'0:0:14.1,58,0.0349
'0:0:14.2,58,0.0349
'0:0:14.3,60,0.0349
'0:0:14.4,60,0.0349
'0:0:14.5,60,0.0350
'0:0:14.6,60,0.0349
'0:0:14.7,87,0.0349
'0:0:14.8,87,0.0349
'0:0:14.9,87,0.0349
'0:0:15.0,87,0.0349
'0:0:15.1,87,0.0349
'0:0:15.2,87,0.0349
'0:0:15.3,87,0.0349
'0:0:15.4,87,0.0349
'0:0:15.5,88,0.0349
'0:0:15.6,88,0.0350
'0:0:15.7,88,0.0350
'0:0:15.8,88,0.0351
'0:0:15.9,88,0.0352
'0:0:16.0,88,0.0350
'0:0:16.1,88,0.0348
