,Experiment name:,Sample experiment
Duration:,30 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,67,0.0555
'0:0:0.1,67,0.0555
'0:0:0.2,67,0.0556
'0:0:0.3,67,0.0556
'0:0:0.4,67,0.0556
'0:0:0.5,67,0.0557
'0:0:0.6,67,0.0557
'0:0:0.7,67,0.0557
'0:0:0.8,67,0.0557
'0:0:0.9,67,0.0557
'0:0:1.0,67,0.0557
'0:0:1.1,67,0.0556
'0:0:1.2,67,0.0557
'0:0:1.3,67,0.0557
'0:0:1.4,67,0.0557
'0:0:1.5,67,0.0557
'0:0:1.6,67,0.0557
'0:0:1.7,67,0.0557
'0:0:1.8,67,0.0558
'0:0:1.9,63,0.0557
'0:0:2.0,63,0.0558
'0:0:2.1,63,0.0558
'0:0:2.2,63,0.0557
'0:0:2.3,63,0.0557
'0:0:2.4,63,0.0557
'0:0:2.5,63,0.0558
'0:0:2.6,63,0.0558
'0:0:2.7,63,0.0558
'0:0:2.8,63,0.0558
'0:0:2.9,63,0.0558
'0:0:3.0,63,0.0559
'0:0:3.1,63,0.0560
'0:0:3.2,63,0.0562
'0:0:3.3,63,0.0563
'0:0:3.4,63,0.0564
'0:0:3.5,57,0.0564
'0:0:3.6,57,0.0566
'0:0:3.7,57,0.0565
'0:0:3.8,57,0.0567
'0:0:3.9,57,0.0568
'0:0:4.0,57,0.0569
'0:0:4.1,57,0.0568
'0:0:4.2,57,0.0569
'0:0:4.3,57,0.0569
'0:0:4.4,57,0.0569
'0:0:4.5,57,0.0569
'0:0:4.6,57,0.0569
'0:0:4.7,57,0.0569
'0:0:4.8,57,0.0570
'0:0:4.9,57,0.0570
'0:0:5.0,57,0.0570
'0:0:5.1,57,0.0570
'0:0:5.2,57,0.0571
'0:0:5.3,57,0.0571
'0:0:5.4,57,0.0572
'0:0:5.5,57,0.0572
'0:0:5.6,57,0.0571
'0:0:5.7,57,0.0571
'0:0:5.8,57,0.0571
'0:0:5.9,57,0.0571
'0:0:6.0,57,0.0571
'0:0:6.1,48,0.0571
'0:0:6.2,48,0.0571
'0:0:6.3,48,0.0571
'0:0:6.4,48,0.0571
'0:0:6.5,48,0.0571
'0:0:6.6,48,0.0571
'0:0:6.7,48,0.0571
'0:0:6.8,48,0.0571
'0:0:6.9,48,0.0571
'0:0:7.0,48,0.0571
'0:0:7.1,48,0.0571
'0:0:7.2,48,0.0571
'0:0:7.3,48,0.0570
'0:0:7.4,48,0.0569
'0:0:7.5,48,0.0570
'0:0:7.6,48,0.0570
'0:0:7.7,48,0.0570
'0:0:7.8,48,0.0569
'0:0:7.9,48,0.0569
'0:0:8.0,48,0.0568
'0:0:8.1,48,0.0568
'0:0:8.2,48,0.0569
'0:0:8.3,48,0.0568
'0:0:8.4,48,0.0568
'0:0:8.5,48,0.0567
'0:0:8.6,48,0.0568
'0:0:8.7,48,0.0567
'0:0:8.8,48,0.0567
'0:0:8.9,48,0.0567
'0:0:9.0,48,0.0567
'0:0:9.1,48,0.0566
'0:0:9.2,48,0.0566
'0:0:9.3,48,0.0566
'0:0:9.4,48,0.0566
'0:0:9.5,48,0.0566
'0:0:9.6,48,0.0565
'0:0:9.7,48,0.0565
'0:0:9.8,48,0.0565
'0:0:9.9,48,0.0565
'0:0:10.0,48,0.0565
'0:0:10.1,48,0.0564
'0:0:10.2,46,0.0564
'0:0:10.3,46,0.0564
'0:0:10.4,46,0.0564
'0:0:10.5,46,0.0564
'0:0:10.6,46,0.0564
'0:0:10.7,46,0.0564
'0:0:10.8,46,0.0564
'0:0:10.9,46,0.0563
'0:0:11.0,46,0.0563
'0:0:11.1,46,0.0563
'0:0:11.2,46,0.0563
'0:0:11.3,46,0.0563
'0:0:11.4,46,0.0563
'0:0:11.5,46,0.0563
'0:0:11.6,46,0.0562
'0:0:11.7,46,0.0562
'0:0:11.8,46,0.0562
'0:0:11.9,46,0.0562
'0:0:12.0,46,0.0562
'0:0:12.1,46,0.0561
'0:0:12.2,46,0.0561
'0:0:12.3,46,0.0561
'0:0:12.4,46,0.0561
'0:0:12.5,46,0.0561
'0:0:12.6,46,0.0561
'0:0:12.7,46,0.0561
'0:0:12.8,46,0.0561
'0:0:12.9,46,0.0561
'0:0:13.0,46,0.0560
'0:0:13.1,46,0.0560
'0:0:13.2,46,0.0560
'0:0:13.3,46,0.0560
'0:0:13.4,46,0.0560
'0:0:13.5,46,0.0560
'0:0:13.6,46,0.0560
'0:0:13.7,46,0.0560
'0:0:13.8,46,0.0560
'0:0:13.9,46,0.0560
'0:0:14.0,46,0.0559
'0:0:14.1,46,0.0559
'0:0:14.2,46,0.0560
'0:0:14.3,50,0.0559
'0:0:14.4,50,0.0559
'0:0:14.5,50,0.0559
'0:0:14.6,50,0.0559
'0:0:14.7,50,0.0559
'0:0:14.8,50,0.0559
'0:0:14.9,50,0.0559
'0:0:15.0,50,0.0559
'0:0:15.1,50,0.0559
'0:0:15.2,55,0.0559
'0:0:15.3,55,0.0559
'0:0:15.4,55,0.0559
'0:0:15.5,55,0.0558
'0:0:15.6,55,0.0558
'0:0:15.7,55,0.0558
'0:0:15.8,55,0.0558
'0:0:15.9,55,0.0558
'0:0:16.0,68,0.0558
'0:0:16.1,68,0.0558
