,Experiment name:,Sample experiment
Duration:,30 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'-0:0:0.0,68,0.0405
'0:0:0.1,68,0.0409
'0:0:0.2,68,0.0403
'0:0:0.3,69,0.0402
'0:0:0.4,69,0.0403
'0:0:0.5,69,0.0404
'0:0:0.6,69,0.0408
'0:0:0.7,69,0.0407
'0:0:0.8,69,0.0405
'0:0:0.9,69,0.0404
'0:0:1.0,69,0.0403
'0:0:1.1,69,0.0406
'0:0:1.2,69,0.0409
'0:0:1.3,69,0.0412
'0:0:1.4,69,0.0406
'0:0:1.5,69,0.0403
'0:0:1.6,69,0.0397
'0:0:1.7,69,0.0402
'0:0:1.8,69,0.0401
'0:0:1.9,69,0.0400
'0:0:2.0,61,0.0403
'0:0:2.1,61,0.0404
'0:0:2.2,61,0.0401
'0:0:2.3,61,0.0406
'0:0:2.4,61,0.0413
'0:0:2.5,61,0.0415
'0:0:2.6,61,0.0407
'0:0:2.7,61,0.0406
'0:0:2.8,61,0.0404
'0:0:2.9,61,0.0402
'0:0:3.0,61,0.0399
'0:0:3.1,61,0.0401
'0:0:3.2,61,0.0399
'0:0:3.3,61,0.0401
'0:0:3.4,61,0.0401
'0:0:3.5,61,0.0405
'0:0:3.6,61,0.0403
'0:0:3.7,61,0.0403
'0:0:3.8,61,0.0404
'0:0:3.9,61,0.0404
'0:0:4.0,61,0.0405
'0:0:4.1,61,0.0404
'0:0:4.2,61,0.0404
'0:0:4.3,61,0.0405
'0:0:4.4,61,0.0405
'0:0:4.5,61,0.0405
'0:0:4.6,61,0.0405
'0:0:4.7,61,0.0406
'0:0:4.8,61,0.0405
'0:0:4.9,61,0.0405
'0:0:5.0,61,0.0405
'0:0:5.1,61,0.0405
'0:0:5.2,61,0.0404
'0:0:5.3,51,0.0405
'0:0:5.4,51,0.0405
'0:0:5.5,51,0.0406
'0:0:5.6,51,0.0406
'0:0:5.7,51,0.0406
'0:0:5.8,51,0.0406
'0:0:5.9,51,0.0406
'0:0:6.0,51,0.0406
'0:0:6.1,51,0.0406
'0:0:6.2,50,0.0406
'0:0:6.3,50,0.0406
'0:0:6.4,50,0.0406
'0:0:6.5,50,0.0406
'0:0:6.6,50,0.0406
'0:0:6.7,50,0.0406
'0:0:6.8,50,0.0406
'0:0:6.9,50,0.0406
'0:0:7.0,51,0.0406
'0:0:7.1,51,0.0406
'0:0:7.2,51,0.0406
'0:0:7.3,51,0.0406
'0:0:7.4,51,0.0406
'0:0:7.5,51,0.0406
'0:0:7.6,51,0.0406
'0:0:7.7,51,0.0406
'0:0:7.8,51,0.0406
'0:0:7.9,51,0.0406
'0:0:8.0,51,0.0406
'0:0:8.1,51,0.0406
'0:0:8.2,51,0.0406
'0:0:8.3,51,0.0406
'0:0:8.4,51,0.0406
'0:0:8.5,51,0.0406
'0:0:8.6,48,0.0406
'0:0:8.7,48,0.0407
'0:0:8.8,48,0.0407
'0:0:8.9,48,0.0406
'0:0:9.0,48,0.0406
'0:0:9.1,48,0.0406
'0:0:9.2,48,0.0407
'0:0:9.3,48,0.0408
'0:0:9.4,48,0.0408
'0:0:9.5,48,0.0408
'0:0:9.6,48,0.0408
'0:0:9.7,48,0.0407
'0:0:9.8,48,0.0404
'0:0:9.9,48,0.0405
'0:0:10.0,48,0.0405
'0:0:10.1,48,0.0406
'0:0:10.2,48,0.0405
'0:0:10.3,48,0.0406
'0:0:10.4,48,0.0407
'0:0:10.5,48,0.0409
'0:0:10.6,48,0.0408
'0:0:10.7,48,0.0407
'0:0:10.8,48,0.0409
'0:0:10.9,48,0.0408
'0:0:11.0,48,0.0407
'0:0:11.1,48,0.0405
'0:0:11.2,48,0.0404
'0:0:11.3,48,0.0406
'0:0:11.4,48,0.0405
'0:0:11.5,48,0.0407
'0:0:11.6,48,0.0407
'0:0:11.7,48,0.0404
'0:0:11.8,48,0.0404
'0:0:11.9,51,0.0405
'0:0:12.0,51,0.0406
'0:0:12.1,51,0.0406
'0:0:12.2,51,0.0406
'0:0:12.3,51,0.0407
'0:0:12.4,51,0.0407
'0:0:12.5,51,0.0407
'0:0:12.6,51,0.0409
'0:0:12.7,51,0.0411
'0:0:12.8,50,0.0408
'0:0:12.9,50,0.0406
'0:0:13.0,50,0.0405
'0:0:13.1,50,0.0407
'0:0:13.2,50,0.0408
'0:0:13.3,50,0.0407
'0:0:13.4,50,0.0407
'0:0:13.5,50,0.0410
'0:0:13.6,55,0.0410
'0:0:13.7,55,0.0410
'0:0:13.8,55,0.0409
'0:0:13.9,55,0.0407
'0:0:14.0,55,0.0407
'0:0:14.1,55,0.0406
'0:0:14.2,55,0.0406
'0:0:14.3,55,0.0406
'0:0:14.4,56,0.0404
'0:0:14.5,56,0.0404
'0:0:14.6,56,0.0406
'0:0:14.7,56,0.0406
'0:0:14.8,56,0.0407
'0:0:14.9,56,0.0408
'0:0:15.0,56,0.0408
'0:0:15.1,56,0.0407
'0:0:15.2,69,0.0406
'0:0:15.3,69,0.0406
'0:0:15.4,69,0.0406
'0:0:15.5,69,0.0407
'0:0:15.6,69,0.0407
'0:0:15.7,69,0.0407
'0:0:15.8,69,0.0407
'0:0:15.9,69,0.0407
'0:0:16.0,69,0.0407
'0:0:16.1,70,0.0407
